+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOGEUSDT  |
| No. days                    | 824.624   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.17%     |
| Final balance               | 2019.14   |
| Final equity                | 1960.06   |
| Net PNL + fees              | 1019.14   |
| Total gain                  | 102.5%    |
| Average daily gain          | 0.0848%   |
| DG mean std ratio           | 0.1079    |
| Price action distance mean  | 0.0340772 |
| Price action distance std   | 0.0387499 |
| Price action distance max   | 0.561646  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.82      |
| Equity/balance ratio std    | 0.009585  |
| No. fills                   | 19386     |
| No. entries                 | 5866      |
| No. closes                  | 13520     |
| No. initial entries         | 527       |
| No. reentries               | 5008      |
| No. unstuck entries         | 331       |
| No. unstuck closes          | 1795      |
| No. normal closes           | 11725     |
| Average n fills per day     | 23.5      |
| Mean hours stuck            | 2.29674   |
| Max hours stuck             | 1020.62   |
| PNL sum                     | 1025.0    |
| Profit sum                  | 1194.0    |
| Loss sum                    | -169.5    |
| Fee sum                     | -5.637    |
| Biggest pos size            | 67793.0   |
| Biggest pos cost            | 1015.0    |
| Volume quote                | 56367.3   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.32%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -912.535  |
| Total gain                  | -91.18%   |
| Average daily gain          | -0.557%   |
| DG mean std ratio           | -0.03514  |
| Price action distance mean  | 0.0309297 |
| Price action distance std   | 0.0368499 |
| Price action distance max   | 0.633951  |
| Closest bankruptcy          | 5.929%    |
| Lowest equity/balance ratio | 0.1332    |
| Equity/balance ratio std    | 0.01027   |
| No. fills                   | 1268      |
| No. entries                 | 820       |
| No. closes                  | 447       |
| No. initial entries         | 31        |
| No. reentries               | 16        |
| No. unstuck entries         | 773       |
| No. unstuck closes          | 296       |
| No. normal closes           | 151       |
| Average n fills per day     | 1.54      |
| Mean hours stuck            | 164.925   |
| Max hours stuck             | 15556.8   |
| PNL sum                     | -911.8    |
| Profit sum                  | 114.2     |
| Loss sum                    | -1026.0   |
| Fee sum                     | -0.7073   |
| Biggest pos size            | 168469.0  |
| Biggest pos cost            | 525.5     |
| Volume quote                | 6551.85   |
+-----------------------------+-----------+
