+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | BNBUSDT   |
| No. days                    | 975.665   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0998%   |
| Final balance               | 1626.92   |
| Final equity                | 1621.78   |
| Net PNL + fees              | 626.92    |
| Total gain                  | 64.27%    |
| Average daily gain          | 0.0583%   |
| DG mean std ratio           | 0.04536   |
| Price action distance mean  | 0.0310533 |
| Price action distance std   | 0.0391894 |
| Price action distance max   | 1.69269   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6854    |
| Equity/balance ratio std    | 0.0119    |
| No. fills                   | 1741      |
| No. entries                 | 755       |
| No. closes                  | 986       |
| No. initial entries         | 218       |
| No. reentries               | 182       |
| No. unstuck entries         | 355       |
| No. unstuck closes          | 535       |
| No. normal closes           | 451       |
| Average n fills per day     | 1.78      |
| Mean hours stuck            | 27.5158   |
| Max hours stuck             | 644.683   |
| PNL sum                     | 642.7     |
| Profit sum                  | 1798.0    |
| Loss sum                    | -1155.0   |
| Fee sum                     | -15.82    |
| Biggest pos size            | 43.22     |
| Biggest pos cost            | 906.1     |
| Volume quote                | 158151.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -2.81%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -916.974  |
| Total gain                  | -91.64%   |
| Average daily gain          | -0.471%   |
| DG mean std ratio           | -0.0575   |
| Price action distance mean  | 0.135057  |
| Price action distance std   | 0.0822691 |
| Price action distance max   | 0.643939  |
| Closest bankruptcy          | 5.948%    |
| Lowest equity/balance ratio | 0.09404   |
| Equity/balance ratio std    | 0.03468   |
| No. fills                   | 125       |
| No. entries                 | 57        |
| No. closes                  | 67        |
| No. initial entries         | 31        |
| No. reentries               | 10        |
| No. unstuck entries         | 16        |
| No. unstuck closes          | 32        |
| No. normal closes           | 35        |
| Average n fills per day     | 0.128     |
| Mean hours stuck            | 282.12    |
| Max hours stuck             | 14636.0   |
| PNL sum                     | -916.4    |
| Profit sum                  | 61.71     |
| Loss sum                    | -978.1    |
| Fee sum                     | -0.5611   |
| Biggest pos size            | 29.22     |
| Biggest pos cost            | 531.3     |
| Volume quote                | 5117.22   |
+-----------------------------+-----------+
