+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | SOLUSDT   |
| No. days                    | 758.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.211%    |
| Final balance               | 2228.0    |
| Final equity                | 2221.46   |
| Net PNL + fees              | 1228.0    |
| Total gain                  | 125.5%    |
| Average daily gain          | 0.12%     |
| DG mean std ratio           | 0.06989   |
| Price action distance mean  | 0.0461279 |
| Price action distance std   | 0.0583199 |
| Price action distance max   | 1.09508   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7375    |
| Equity/balance ratio std    | 0.01783   |
| No. fills                   | 2562      |
| No. entries                 | 1116      |
| No. closes                  | 1446      |
| No. initial entries         | 376       |
| No. reentries               | 316       |
| No. unstuck entries         | 424       |
| No. unstuck closes          | 551       |
| No. normal closes           | 895       |
| Average n fills per day     | 3.38      |
| Mean hours stuck            | 13.1663   |
| Max hours stuck             | 554.8     |
| PNL sum                     | 1255.0    |
| Profit sum                  | 3849.0    |
| Loss sum                    | -2593.0   |
| Fee sum                     | -27.01    |
| Biggest pos size            | 290.9     |
| Biggest pos cost            | 1276.0    |
| Volume quote                | 270148.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.61%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -956.332  |
| Total gain                  | -95.45%   |
| Average daily gain          | -0.605%   |
| DG mean std ratio           | -0.07392  |
| Price action distance mean  | 0.123235  |
| Price action distance std   | 0.12786   |
| Price action distance max   | 0.641004  |
| Closest bankruptcy          | 5.933%    |
| Lowest equity/balance ratio | 0.08759   |
| Equity/balance ratio std    | 0.0829    |
| No. fills                   | 412       |
| No. entries                 | 197       |
| No. closes                  | 214       |
| No. initial entries         | 117       |
| No. reentries               | 42        |
| No. unstuck entries         | 38        |
| No. unstuck closes          | 46        |
| No. normal closes           | 168       |
| Average n fills per day     | 0.543     |
| Mean hours stuck            | 61.7254   |
| Max hours stuck             | 9713.62   |
| PNL sum                     | -954.5    |
| Profit sum                  | 219.0     |
| Loss sum                    | -1173.0   |
| Fee sum                     | -1.786    |
| Biggest pos size            | 270.8     |
| Biggest pos cost            | 568.1     |
| Volume quote                | 17592.1   |
+-----------------------------+-----------+
