+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | XRPUSDT   |
| No. days                    | 567.999   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.139%    |
| Final balance               | 1689.66   |
| Final equity                | 1688.77   |
| Net PNL + fees              | 689.659   |
| Total gain                  | 73.51%    |
| Average daily gain          | 0.0966%   |
| DG mean std ratio           | 0.1058    |
| Price action distance mean  | 0.0128311 |
| Price action distance std   | 0.024183  |
| Price action distance max   | 0.62555   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7435    |
| Equity/balance ratio std    | 0.01176   |
| No. fills                   | 19984     |
| No. entries                 | 10334     |
| No. closes                  | 9650      |
| No. initial entries         | 8258      |
| No. reentries               | 2032      |
| No. unstuck entries         | 44        |
| No. unstuck closes          | 253       |
| No. normal closes           | 9397      |
| Average n fills per day     | 35.2      |
| Mean hours stuck            | 0.721459  |
| Max hours stuck             | 175.567   |
| PNL sum                     | 735.1     |
| Profit sum                  | 1196.0    |
| Loss sum                    | -461.0    |
| Fee sum                     | -45.41    |
| Biggest pos size            | 3080.0    |
| Biggest pos cost            | 1279.0    |
| Volume quote                | 454121.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.13%     |
| Final balance               | 1279.08   |
| Final equity                | 1279.06   |
| Net PNL + fees              | 279.08    |
| Total gain                  | 29.03%    |
| Average daily gain          | 0.0466%   |
| DG mean std ratio           | 0.05696   |
| Price action distance mean  | 0.0258151 |
| Price action distance std   | 0.0360441 |
| Price action distance max   | 0.313782  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8468    |
| Equity/balance ratio std    | 0.01523   |
| No. fills                   | 19029     |
| No. entries                 | 12280     |
| No. closes                  | 6749      |
| No. initial entries         | 6598      |
| No. reentries               | 5682      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 3         |
| No. normal closes           | 6746      |
| Average n fills per day     | 33.5      |
| Mean hours stuck            | 0.725761  |
| Max hours stuck             | 346.4     |
| PNL sum                     | 290.3     |
| Profit sum                  | 290.7     |
| Loss sum                    | -0.3983   |
| Fee sum                     | -11.19    |
| Biggest pos size            | 1138.0    |
| Biggest pos cost            | 412.1     |
| Volume quote                | 111888.0  |
+-----------------------------+-----------+
