+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | bybit    |
| Market type                 | futures  |
| Symbol                      | AVAXUSDT |
| No. days                    | 567.999  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.232%   |
| Final balance               | 3303.36  |
| Final equity                | 1560.96  |
| Net PNL + fees              | 2303.36  |
| Total gain                  | 233.0%   |
| Average daily gain          | 0.165%   |
| DG mean std ratio           | 0.03988  |
| Price action distance mean  | 0.426872 |
| Price action distance std   | 0.694901 |
| Price action distance max   | 3.07264  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.3109   |
| Equity/balance ratio std    | 0.2344   |
| No. fills                   | 5025     |
| No. entries                 | 3050     |
| No. closes                  | 1975     |
| No. initial entries         | 1575     |
| No. reentries               | 1475     |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 1975     |
| Average n fills per day     | 8.85     |
| Mean hours stuck            | 2.85666  |
| Max hours stuck             | 2196.07  |
| PNL sum                     | 2330.0   |
| Profit sum                  | 2330.0   |
| Loss sum                    | 0.0      |
| Fee sum                     | -27.02   |
| Biggest pos size            | 67.0     |
| Biggest pos cost            | 3017.0   |
| Volume quote                | 270176.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | -26.4%   |
| Final balance               | 0.001    |
| Final equity                | 0.001    |
| Net PNL + fees              | -950.382 |
| Total gain                  | -95.04%  |
| Average daily gain          | -0.807%  |
| DG mean std ratio           | -0.06969 |
| Price action distance mean  | 0.570598 |
| Price action distance std   | 0.194064 |
| Price action distance max   | 0.910651 |
| Closest bankruptcy          | 4.758%   |
| Lowest equity/balance ratio | 0.07248  |
| Equity/balance ratio std    | 0.05081  |
| No. fills                   | 51       |
| No. entries                 | 39       |
| No. closes                  | 11       |
| No. initial entries         | 9        |
| No. reentries               | 30       |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 11       |
| Average n fills per day     | 0.0898   |
| Mean hours stuck            | 278.203  |
| Max hours stuck             | 12660.0  |
| PNL sum                     | -950.4   |
| Profit sum                  | 1.464    |
| Loss sum                    | -951.8   |
| Fee sum                     | -0.02556 |
| Biggest pos size            | 19.9     |
| Biggest pos cost            | 91.14    |
| Volume quote                | 164.468  |
+-----------------------------+----------+
