+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | BNBUSDT   |
| No. days                    | 567.999   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.141%    |
| Final balance               | 1490.41   |
| Final equity                | 1489.8    |
| Net PNL + fees              | 490.407   |
| Total gain                  | 51.1%     |
| Average daily gain          | 0.0753%   |
| DG mean std ratio           | 0.07453   |
| Price action distance mean  | 0.0216202 |
| Price action distance std   | 0.0321389 |
| Price action distance max   | 0.663027  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7993    |
| Equity/balance ratio std    | 0.01334   |
| No. fills                   | 19162     |
| No. entries                 | 12698     |
| No. closes                  | 6464      |
| No. initial entries         | 6404      |
| No. reentries               | 6294      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 3         |
| No. normal closes           | 6461      |
| Average n fills per day     | 33.7      |
| Mean hours stuck            | 0.720468  |
| Max hours stuck             | 342.167   |
| PNL sum                     | 511.0     |
| Profit sum                  | 516.4     |
| Loss sum                    | -5.426    |
| Fee sum                     | -20.54    |
| Biggest pos size            | 5.74      |
| Biggest pos cost            | 741.2     |
| Volume quote                | 205437.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -4.81%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -917.407  |
| Total gain                  | -91.71%   |
| Average daily gain          | -0.807%   |
| DG mean std ratio           | -0.06448  |
| Price action distance mean  | 0.0687651 |
| Price action distance std   | 0.117776  |
| Price action distance max   | 0.645921  |
| Closest bankruptcy          | 5.873%    |
| Lowest equity/balance ratio | 0.08788   |
| Equity/balance ratio std    | 0.0286    |
| No. fills                   | 274       |
| No. entries                 | 154       |
| No. closes                  | 119       |
| No. initial entries         | 107       |
| No. reentries               | 46        |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 13        |
| No. normal closes           | 106       |
| Average n fills per day     | 0.482     |
| Mean hours stuck            | 49.5708   |
| Max hours stuck             | 12663.5   |
| PNL sum                     | -917.1    |
| Profit sum                  | 6.094     |
| Loss sum                    | -923.2    |
| Fee sum                     | -0.2838   |
| Biggest pos size            | 9.83      |
| Biggest pos cost            | 503.0     |
| Volume quote                | 2341.74   |
+-----------------------------+-----------+
