+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | ADAUSDT   |
| No. days                    | 567.999   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.19%     |
| Final balance               | 2666.96   |
| Final equity                | 1518.22   |
| Net PNL + fees              | 1666.96   |
| Total gain                  | 173.6%    |
| Average daily gain          | 0.105%    |
| DG mean std ratio           | 0.04222   |
| Price action distance mean  | 0.142223  |
| Price action distance std   | 0.281722  |
| Price action distance max   | 1.27952   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.4898    |
| Equity/balance ratio std    | 0.1367    |
| No. fills                   | 22920     |
| No. entries                 | 14832     |
| No. closes                  | 8088      |
| No. initial entries         | 7822      |
| No. reentries               | 7010      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 8088      |
| Average n fills per day     | 40.4      |
| Mean hours stuck            | 0.604308  |
| Max hours stuck             | 2020.12   |
| PNL sum                     | 1736.0    |
| Profit sum                  | 1736.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -69.4     |
| Biggest pos size            | 2641.0    |
| Biggest pos cost            | 2424.0    |
| Volume quote                | 693993.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -0.302%   |
| Final balance               | 855.611   |
| Final equity                | 855.603   |
| Net PNL + fees              | -144.389  |
| Total gain                  | -14.36%   |
| Average daily gain          | -0.0154%  |
| DG mean std ratio           | -0.009904 |
| Price action distance mean  | 0.409803  |
| Price action distance std   | 0.273555  |
| Price action distance max   | 0.794323  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6477    |
| Equity/balance ratio std    | 0.08509   |
| No. fills                   | 5364      |
| No. entries                 | 2927      |
| No. closes                  | 2437      |
| No. initial entries         | 2206      |
| No. reentries               | 691       |
| No. unstuck entries         | 30        |
| No. unstuck closes          | 91        |
| No. normal closes           | 2346      |
| Average n fills per day     | 9.44      |
| Mean hours stuck            | 2.60401   |
| Max hours stuck             | 1111.27   |
| PNL sum                     | -143.6    |
| Profit sum                  | 18.44     |
| Loss sum                    | -162.0    |
| Fee sum                     | -0.8294   |
| Biggest pos size            | 223.0     |
| Biggest pos cost            | 91.55     |
| Volume quote                | 8294.14   |
+-----------------------------+-----------+
