+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | ADAUSDT   |
| No. days                    | 567.998   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.18%     |
| Final balance               | 1667.47   |
| Final equity                | 1517.83   |
| Net PNL + fees              | 667.47    |
| Total gain                  | 67.36%    |
| Average daily gain          | 0.0821%   |
| DG mean std ratio           | 0.06312   |
| Price action distance mean  | 0.0946054 |
| Price action distance std   | 0.157154  |
| Price action distance max   | 1.2199    |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7249    |
| Equity/balance ratio std    | 0.05162   |
| No. fills                   | 3993      |
| No. entries                 | 1748      |
| No. closes                  | 2245      |
| No. initial entries         | 424       |
| No. reentries               | 853       |
| No. unstuck entries         | 471       |
| No. unstuck closes          | 1029      |
| No. normal closes           | 1216      |
| Average n fills per day     | 7.03      |
| Mean hours stuck            | 4.65572   |
| Max hours stuck             | 403.133   |
| PNL sum                     | 673.6     |
| Profit sum                  | 984.2     |
| Loss sum                    | -310.6    |
| Fee sum                     | -6.126    |
| Biggest pos size            | 1554.0    |
| Biggest pos cost            | 990.5     |
| Volume quote                | 61263.6   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -4.81%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -912.615  |
| Total gain                  | -91.23%   |
| Average daily gain          | -0.807%   |
| DG mean std ratio           | -0.06159  |
| Price action distance mean  | 0.205705  |
| Price action distance std   | 0.207113  |
| Price action distance max   | 0.645035  |
| Closest bankruptcy          | 5.66%     |
| Lowest equity/balance ratio | 0.0903    |
| Equity/balance ratio std    | 0.08578   |
| No. fills                   | 81        |
| No. entries                 | 41        |
| No. closes                  | 39        |
| No. initial entries         | 4         |
| No. reentries               | 37        |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 39        |
| Average n fills per day     | 0.143     |
| Mean hours stuck            | 200.47    |
| Max hours stuck             | 12418.2   |
| PNL sum                     | -912.3    |
| Profit sum                  | 87.95     |
| Loss sum                    | -1000.0   |
| Fee sum                     | -0.2947   |
| Biggest pos size            | 1837.0    |
| Biggest pos cost            | 544.5     |
| Volume quote                | 2402.14   |
+-----------------------------+-----------+
