+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | LTCUSDT   |
| No. days                    | 567.998   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.131%    |
| Final balance               | 1449.92   |
| Final equity                | 1449.85   |
| Net PNL + fees              | 449.92    |
| Total gain                  | 45.69%    |
| Average daily gain          | 0.0676%   |
| DG mean std ratio           | 0.1042    |
| Price action distance mean  | 0.0189579 |
| Price action distance std   | 0.0241608 |
| Price action distance max   | 0.43087   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8488    |
| Equity/balance ratio std    | 0.005199  |
| No. fills                   | 2955      |
| No. entries                 | 1910      |
| No. closes                  | 1045      |
| No. initial entries         | 914       |
| No. reentries               | 986       |
| No. unstuck entries         | 10        |
| No. unstuck closes          | 0         |
| No. normal closes           | 1045      |
| Average n fills per day     | 5.2       |
| Mean hours stuck            | 4.89653   |
| Max hours stuck             | 345.45    |
| PNL sum                     | 456.9     |
| Profit sum                  | 456.9     |
| Loss sum                    | 0.0       |
| Fee sum                     | -6.957    |
| Biggest pos size            | 15.3      |
| Biggest pos cost            | 717.8     |
| Volume quote                | 69567.2   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0587%   |
| Final balance               | 1181.5    |
| Final equity                | 1180.32   |
| Net PNL + fees              | 181.503   |
| Total gain                  | 19.53%    |
| Average daily gain          | 0.0416%   |
| DG mean std ratio           | 0.02667   |
| Price action distance mean  | 0.0314151 |
| Price action distance std   | 0.034126  |
| Price action distance max   | 0.281341  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7978    |
| Equity/balance ratio std    | 0.02042   |
| No. fills                   | 1866      |
| No. entries                 | 771       |
| No. closes                  | 1095      |
| No. initial entries         | 371       |
| No. reentries               | 192       |
| No. unstuck entries         | 208       |
| No. unstuck closes          | 98        |
| No. normal closes           | 997       |
| Average n fills per day     | 3.29      |
| Mean hours stuck            | 8.48814   |
| Max hours stuck             | 259.183   |
| PNL sum                     | 195.3     |
| Profit sum                  | 1293.0    |
| Loss sum                    | -1097.0   |
| Fee sum                     | -13.8     |
| Biggest pos size            | 13.2      |
| Biggest pos cost            | 638.4     |
| Volume quote                | 138037.0  |
+-----------------------------+-----------+
