+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | bybit    |
| Market type                 | futures  |
| Symbol                      | DOGEUSDT |
| No. days                    | 567.999  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.387%   |
| Final balance               | 7351.9   |
| Final equity                | 4370.35  |
| Net PNL + fees              | 6351.9   |
| Total gain                  | 641.2%   |
| Average daily gain          | 0.29%    |
| DG mean std ratio           | 0.118    |
| Price action distance mean  | 0.110714 |
| Price action distance std   | 0.2473   |
| Price action distance max   | 1.4712   |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.4589   |
| Equity/balance ratio std    | 0.1243   |
| No. fills                   | 5082     |
| No. entries                 | 3072     |
| No. closes                  | 2010     |
| No. initial entries         | 1790     |
| No. reentries               | 1282     |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 2010     |
| Average n fills per day     | 8.95     |
| Mean hours stuck            | 2.74672  |
| Max hours stuck             | 1783.12  |
| PNL sum                     | 6412.0   |
| Profit sum                  | 6412.0   |
| Loss sum                    | 0.0      |
| Fee sum                     | -60.23   |
| Biggest pos size            | 79271.0  |
| Biggest pos cost            | 6682.0   |
| Volume quote                | 602301.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | -26.4%   |
| Final balance               | 0.001    |
| Final equity                | 0.001    |
| Net PNL + fees              | -944.604 |
| Total gain                  | -94.45%  |
| Average daily gain          | -0.807%  |
| DG mean std ratio           | -0.06007 |
| Price action distance mean  | 0.669223 |
| Price action distance std   | 0.311309 |
| Price action distance max   | 0.91023  |
| Closest bankruptcy          | 5.255%   |
| Lowest equity/balance ratio | 0.08017  |
| Equity/balance ratio std    | 0.146    |
| No. fills                   | 270      |
| No. entries                 | 172      |
| No. closes                  | 97       |
| No. initial entries         | 86       |
| No. reentries               | 86       |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 97       |
| Average n fills per day     | 0.475    |
| Mean hours stuck            | 51.4414  |
| Max hours stuck             | 11158.9  |
| PNL sum                     | -944.5   |
| Profit sum                  | 17.58    |
| Loss sum                    | -962.0   |
| Fee sum                     | -0.1533  |
| Biggest pos size            | 9658.0   |
| Biggest pos cost            | 92.41    |
| Volume quote                | 1441.16  |
+-----------------------------+----------+
