+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 567.999   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.405%    |
| Final balance               | 3158.54   |
| Final equity                | 3150.81   |
| Net PNL + fees              | 2158.54   |
| Total gain                  | 224.8%    |
| Average daily gain          | 0.208%    |
| DG mean std ratio           | 0.1913    |
| Price action distance mean  | 0.017152  |
| Price action distance std   | 0.0226981 |
| Price action distance max   | 0.444119  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8462    |
| Equity/balance ratio std    | 0.007453  |
| No. fills                   | 36518     |
| No. entries                 | 18504     |
| No. closes                  | 18014     |
| No. initial entries         | 15228     |
| No. reentries               | 3176      |
| No. unstuck entries         | 100       |
| No. unstuck closes          | 35        |
| No. normal closes           | 17979     |
| Average n fills per day     | 64.3      |
| Mean hours stuck            | 0.401602  |
| Max hours stuck             | 150.767   |
| PNL sum                     | 2248.0    |
| Profit sum                  | 2437.0    |
| Loss sum                    | -188.4    |
| Fee sum                     | -89.62    |
| Biggest pos size            | 21075.0   |
| Biggest pos cost            | 1538.0    |
| Volume quote                | 896218.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -0.164%   |
| Final balance               | 627.996   |
| Final equity                | 627.982   |
| Net PNL + fees              | -372.004  |
| Total gain                  | -36.4%    |
| Average daily gain          | -0.0316%  |
| DG mean std ratio           | -0.009987 |
| Price action distance mean  | 0.0372713 |
| Price action distance std   | 0.0639009 |
| Price action distance max   | 0.517303  |
| Closest bankruptcy          | 44.72%    |
| Lowest equity/balance ratio | 0.4637    |
| Equity/balance ratio std    | 0.04366   |
| No. fills                   | 14421     |
| No. entries                 | 7802      |
| No. closes                  | 6619      |
| No. initial entries         | 6320      |
| No. reentries               | 1458      |
| No. unstuck entries         | 24        |
| No. unstuck closes          | 67        |
| No. normal closes           | 6552      |
| Average n fills per day     | 25.4      |
| Mean hours stuck            | 0.960133  |
| Max hours stuck             | 163.85    |
| PNL sum                     | -364.0    |
| Profit sum                  | 198.3     |
| Loss sum                    | -562.4    |
| Fee sum                     | -7.966    |
| Biggest pos size            | 15237.0   |
| Biggest pos cost            | 521.5     |
| Volume quote                | 79655.9   |
+-----------------------------+-----------+
