+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | BNBUSDT   |
| No. days                    | 567.999   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.134%    |
| Final balance               | 1463.05   |
| Final equity                | 1462.7    |
| Net PNL + fees              | 463.053   |
| Total gain                  | 48.35%    |
| Average daily gain          | 0.0702%   |
| DG mean std ratio           | 0.08747   |
| Price action distance mean  | 0.0144111 |
| Price action distance std   | 0.0240665 |
| Price action distance max   | 0.645208  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8019    |
| Equity/balance ratio std    | 0.006158  |
| No. fills                   | 13743     |
| No. entries                 | 8727      |
| No. closes                  | 5016      |
| No. initial entries         | 4963      |
| No. reentries               | 3764      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 11        |
| No. normal closes           | 5005      |
| Average n fills per day     | 24.2      |
| Mean hours stuck            | 0.995979  |
| Max hours stuck             | 129.25    |
| PNL sum                     | 483.5     |
| Profit sum                  | 491.1     |
| Loss sum                    | -7.569    |
| Fee sum                     | -20.48    |
| Biggest pos size            | 6.88      |
| Biggest pos cost            | 721.3     |
| Volume quote                | 204811.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -4.81%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -916.421  |
| Total gain                  | -91.62%   |
| Average daily gain          | -0.807%   |
| DG mean std ratio           | -0.06412  |
| Price action distance mean  | 0.0794535 |
| Price action distance std   | 0.0992424 |
| Price action distance max   | 0.645768  |
| Closest bankruptcy          | 5.881%    |
| Lowest equity/balance ratio | 0.08801   |
| Equity/balance ratio std    | 0.02839   |
| No. fills                   | 189       |
| No. entries                 | 103       |
| No. closes                  | 85        |
| No. initial entries         | 86        |
| No. reentries               | 17        |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 85        |
| Average n fills per day     | 0.333     |
| Mean hours stuck            | 71.7472   |
| Max hours stuck             | 12663.5   |
| PNL sum                     | -916.2    |
| Profit sum                  | 3.69      |
| Loss sum                    | -919.9    |
| Fee sum                     | -0.2132   |
| Biggest pos size            | 9.65      |
| Biggest pos cost            | 502.0     |
| Volume quote                | 1630.32   |
+-----------------------------+-----------+
