+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | SOLUSDT   |
| No. days                    | 567.999   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.37%     |
| Final balance               | 6746.29   |
| Final equity                | 3663.35   |
| Net PNL + fees              | 5746.29   |
| Total gain                  | 597.1%    |
| Average daily gain          | 0.266%    |
| DG mean std ratio           | 0.0971    |
| Price action distance mean  | 0.15565   |
| Price action distance std   | 0.382185  |
| Price action distance max   | 2.14858   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.3818    |
| Equity/balance ratio std    | 0.1552    |
| No. fills                   | 23122     |
| No. entries                 | 13655     |
| No. closes                  | 9467      |
| No. initial entries         | 8977      |
| No. reentries               | 4678      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 9467      |
| Average n fills per day     | 40.7      |
| Mean hours stuck            | 0.600951  |
| Max hours stuck             | 1826.02   |
| PNL sum                     | 5971.0    |
| Profit sum                  | 5971.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -224.5    |
| Biggest pos size            | 540.8     |
| Biggest pos cost            | 6112.0    |
| Volume quote                | 2244900.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -26.4%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -936.873  |
| Total gain                  | -93.63%   |
| Average daily gain          | -0.807%   |
| DG mean std ratio           | -0.08559  |
| Price action distance mean  | 0.642246  |
| Price action distance std   | 0.248864  |
| Price action distance max   | 0.911006  |
| Closest bankruptcy          | 5.994%    |
| Lowest equity/balance ratio | 0.07168   |
| Equity/balance ratio std    | 0.1431    |
| No. fills                   | 960       |
| No. entries                 | 803       |
| No. closes                  | 156       |
| No. initial entries         | 109       |
| No. reentries               | 694       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 156       |
| Average n fills per day     | 1.69      |
| Mean hours stuck            | 19.1729   |
| Max hours stuck             | 11313.1   |
| PNL sum                     | -936.3    |
| Profit sum                  | 24.16     |
| Loss sum                    | -960.5    |
| Fee sum                     | -0.5418   |
| Biggest pos size            | 40.6      |
| Biggest pos cost            | 92.91     |
| Volume quote                | 5325.07   |
+-----------------------------+-----------+
