+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | BNBUSDT   |
| No. days                    | 567.999   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.136%    |
| Final balance               | 2021.94   |
| Final equity                | 2021.65   |
| Net PNL + fees              | 1021.94   |
| Total gain                  | 103.0%    |
| Average daily gain          | 0.13%     |
| DG mean std ratio           | 0.1148    |
| Price action distance mean  | 0.0209432 |
| Price action distance std   | 0.0232394 |
| Price action distance max   | 0.607062  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6589    |
| Equity/balance ratio std    | 0.01482   |
| No. fills                   | 1768      |
| No. entries                 | 1081      |
| No. closes                  | 687       |
| No. initial entries         | 540       |
| No. reentries               | 541       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 687       |
| Average n fills per day     | 3.11      |
| Mean hours stuck            | 7.91176   |
| Max hours stuck             | 339.75    |
| PNL sum                     | 1030.0    |
| Profit sum                  | 1030.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -8.194    |
| Biggest pos size            | 7.49      |
| Biggest pos cost            | 1787.0    |
| Volume quote                | 81935.7   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -26.4%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -938.626  |
| Total gain                  | -93.86%   |
| Average daily gain          | -0.807%   |
| DG mean std ratio           | -0.08149  |
| Price action distance mean  | 0.501494  |
| Price action distance std   | 0.359044  |
| Price action distance max   | 0.912806  |
| Closest bankruptcy          | 5.961%    |
| Lowest equity/balance ratio | 0.06169   |
| Equity/balance ratio std    | 0.1223    |
| No. fills                   | 46        |
| No. entries                 | 31        |
| No. closes                  | 14        |
| No. initial entries         | 14        |
| No. reentries               | 17        |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 14        |
| Average n fills per day     | 0.081     |
| Mean hours stuck            | 290.042   |
| Max hours stuck             | 11199.2   |
| PNL sum                     | -938.6    |
| Profit sum                  | 1.347     |
| Loss sum                    | -939.9    |
| Fee sum                     | -0.02571  |
| Biggest pos size            | 1.72      |
| Biggest pos cost            | 89.75     |
| Volume quote                | 167.341   |
+-----------------------------+-----------+
