+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | bybit    |
| Market type                 | futures  |
| Symbol                      | LTCUSDT  |
| No. days                    | 567.999  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.123%   |
| Final balance               | 1888.97  |
| Final equity                | 1886.98  |
| Net PNL + fees              | 888.974  |
| Total gain                  | 89.64%   |
| Average daily gain          | 0.162%   |
| DG mean std ratio           | 0.05123  |
| Price action distance mean  | 0.144456 |
| Price action distance std   | 0.226698 |
| Price action distance max   | 1.2383   |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.4901   |
| Equity/balance ratio std    | 0.1282   |
| No. fills                   | 1190     |
| No. entries                 | 709      |
| No. closes                  | 481      |
| No. initial entries         | 321      |
| No. reentries               | 388      |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 481      |
| Average n fills per day     | 2.1      |
| Mean hours stuck            | 12.0     |
| Max hours stuck             | 2809.02  |
| PNL sum                     | 896.4    |
| Profit sum                  | 896.4    |
| Loss sum                    | 0.0      |
| Fee sum                     | -7.434   |
| Biggest pos size            | 30.9     |
| Biggest pos cost            | 1640.0   |
| Volume quote                | 74344.9  |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | 0.168%   |
| Final balance               | 1090.88  |
| Final equity                | 1089.89  |
| Net PNL + fees              | 90.8791  |
| Total gain                  | 9.144%   |
| Average daily gain          | 0.0176%  |
| DG mean std ratio           | 0.0243   |
| Price action distance mean  | 0.165569 |
| Price action distance std   | 0.14945  |
| Price action distance max   | 0.641171 |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.845    |
| Equity/balance ratio std    | 0.02574  |
| No. fills                   | 437      |
| No. entries                 | 249      |
| No. closes                  | 188      |
| No. initial entries         | 136      |
| No. reentries               | 113      |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 188      |
| Average n fills per day     | 0.769    |
| Mean hours stuck            | 32.2269  |
| Max hours stuck             | 3652.53  |
| PNL sum                     | 91.44    |
| Profit sum                  | 91.44    |
| Loss sum                    | 0.0      |
| Fee sum                     | -0.5579  |
| Biggest pos size            | 1.0      |
| Biggest pos cost            | 91.22    |
| Volume quote                | 5579.34  |
+-----------------------------+----------+
