+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 567.999   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.229%    |
| Final balance               | 1916.7    |
| Final equity                | 1916.32   |
| Net PNL + fees              | 916.703   |
| Total gain                  | 92.11%    |
| Average daily gain          | 0.117%    |
| DG mean std ratio           | 0.165     |
| Price action distance mean  | 0.0246574 |
| Price action distance std   | 0.0220077 |
| Price action distance max   | 0.350389  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8702    |
| Equity/balance ratio std    | 0.004182  |
| No. fills                   | 8780      |
| No. entries                 | 1420      |
| No. closes                  | 7360      |
| No. initial entries         | 649       |
| No. reentries               | 725       |
| No. unstuck entries         | 46        |
| No. unstuck closes          | 147       |
| No. normal closes           | 7213      |
| Average n fills per day     | 15.5      |
| Mean hours stuck            | 2.04194   |
| Max hours stuck             | 260.467   |
| PNL sum                     | 921.1     |
| Profit sum                  | 1004.0    |
| Loss sum                    | -83.3     |
| Fee sum                     | -4.365    |
| Biggest pos size            | 5162.0    |
| Biggest pos cost            | 935.7     |
| Volume quote                | 43654.6   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -0.548%   |
| Final balance               | 210.489   |
| Final equity                | 210.498   |
| Net PNL + fees              | -789.511  |
| Total gain                  | -77.86%   |
| Average daily gain          | -0.202%   |
| DG mean std ratio           | -0.05678  |
| Price action distance mean  | 0.0295796 |
| Price action distance std   | 0.0463753 |
| Price action distance max   | 0.53832   |
| Closest bankruptcy          | 38.49%    |
| Lowest equity/balance ratio | 0.4169    |
| Equity/balance ratio std    | 0.03263   |
| No. fills                   | 13678     |
| No. entries                 | 3921      |
| No. closes                  | 9757      |
| No. initial entries         | 2013      |
| No. reentries               | 1145      |
| No. unstuck entries         | 763       |
| No. unstuck closes          | 2414      |
| No. normal closes           | 7343      |
| Average n fills per day     | 24.1      |
| Mean hours stuck            | 1.31152   |
| Max hours stuck             | 164.633   |
| PNL sum                     | -778.6    |
| Profit sum                  | 893.4     |
| Loss sum                    | -1672.0   |
| Fee sum                     | -10.94    |
| Biggest pos size            | 24909.0   |
| Biggest pos cost            | 575.4     |
| Volume quote                | 109441.0  |
+-----------------------------+-----------+
