+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 567.998   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.214%    |
| Final balance               | 1837.84   |
| Final equity                | 1837.84   |
| Net PNL + fees              | 837.837   |
| Total gain                  | 84.14%    |
| Average daily gain          | 0.111%    |
| DG mean std ratio           | 0.1287    |
| Price action distance mean  | 0.0277791 |
| Price action distance std   | 0.0343137 |
| Price action distance max   | 0.467472  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8405    |
| Equity/balance ratio std    | 0.005423  |
| No. fills                   | 8153      |
| No. entries                 | 2385      |
| No. closes                  | 5768      |
| No. initial entries         | 347       |
| No. reentries               | 2024      |
| No. unstuck entries         | 14        |
| No. unstuck closes          | 9         |
| No. normal closes           | 5759      |
| Average n fills per day     | 14.4      |
| Mean hours stuck            | 2.14373   |
| Max hours stuck             | 550.2     |
| PNL sum                     | 841.4     |
| Profit sum                  | 853.6     |
| Loss sum                    | -12.25    |
| Fee sum                     | -3.54     |
| Biggest pos size            | 3828.0    |
| Biggest pos cost            | 888.6     |
| Volume quote                | 35404.9   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -4.81%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -938.986  |
| Total gain                  | -93.81%   |
| Average daily gain          | -0.807%   |
| DG mean std ratio           | -0.06168  |
| Price action distance mean  | 0.114774  |
| Price action distance std   | 0.101985  |
| Price action distance max   | 0.643124  |
| Closest bankruptcy          | 3.942%    |
| Lowest equity/balance ratio | 0.09801   |
| Equity/balance ratio std    | 0.02954   |
| No. fills                   | 636       |
| No. entries                 | 194       |
| No. closes                  | 441       |
| No. initial entries         | 34        |
| No. reentries               | 5         |
| No. unstuck entries         | 155       |
| No. unstuck closes          | 79        |
| No. normal closes           | 362       |
| Average n fills per day     | 1.12      |
| Mean hours stuck            | 36.5468   |
| Max hours stuck             | 12661.8   |
| PNL sum                     | -938.1    |
| Profit sum                  | 92.1      |
| Loss sum                    | -1030.0   |
| Fee sum                     | -0.9215   |
| Biggest pos size            | 20409.0   |
| Biggest pos cost            | 537.1     |
| Volume quote                | 8677.89   |
+-----------------------------+-----------+
