+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | bybit    |
| Market type                 | futures  |
| Symbol                      | ADAUSDT  |
| No. days                    | 567.999  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.257%   |
| Final balance               | 3758.56  |
| Final equity                | 2045.43  |
| Net PNL + fees              | 2758.56  |
| Total gain                  | 278.4%   |
| Average daily gain          | 0.16%    |
| DG mean std ratio           | 0.06091  |
| Price action distance mean  | 0.148411 |
| Price action distance std   | 0.323265 |
| Price action distance max   | 1.40329  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.4693   |
| Equity/balance ratio std    | 0.1466   |
| No. fills                   | 3757     |
| No. entries                 | 1925     |
| No. closes                  | 1832     |
| No. initial entries         | 983      |
| No. reentries               | 942      |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 1832     |
| Average n fills per day     | 6.61     |
| Mean hours stuck            | 4.26799  |
| Max hours stuck             | 2209.5   |
| PNL sum                     | 2784.0   |
| Profit sum                  | 2784.0   |
| Loss sum                    | 0.0      |
| Fee sum                     | -25.5    |
| Biggest pos size            | 3622.0   |
| Biggest pos cost            | 3416.0   |
| Volume quote                | 254979.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | 0.0609%  |
| Final balance               | 1031.96  |
| Final equity                | 1031.95  |
| Net PNL + fees              | 31.962   |
| Total gain                  | 3.225%   |
| Average daily gain          | 0.0249%  |
| DG mean std ratio           | 0.01267  |
| Price action distance mean  | 0.508076 |
| Price action distance std   | 0.25635  |
| Price action distance max   | 0.840891 |
| Closest bankruptcy          | 97.97%   |
| Lowest equity/balance ratio | 0.5381   |
| Equity/balance ratio std    | 0.1056   |
| No. fills                   | 511      |
| No. entries                 | 229      |
| No. closes                  | 282      |
| No. initial entries         | 113      |
| No. reentries               | 116      |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 282      |
| Average n fills per day     | 0.9      |
| Mean hours stuck            | 32.0752  |
| Max hours stuck             | 11054.5  |
| PNL sum                     | 32.25    |
| Profit sum                  | 32.25    |
| Loss sum                    | 0.0      |
| Fee sum                     | -0.2887  |
| Biggest pos size            | 448.0    |
| Biggest pos cost            | 93.3     |
| Volume quote                | 2887.4   |
+-----------------------------+----------+
