+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | TRXUSDT   |
| No. days                    | 567.999   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.102%    |
| Final balance               | 1695.93   |
| Final equity                | 1166.91   |
| Net PNL + fees              | 695.929   |
| Total gain                  | 70.33%    |
| Average daily gain          | 0.0823%   |
| DG mean std ratio           | 0.02487   |
| Price action distance mean  | 0.28053   |
| Price action distance std   | 0.266053  |
| Price action distance max   | 1.21753   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.5008    |
| Equity/balance ratio std    | 0.1513    |
| No. fills                   | 1804      |
| No. entries                 | 912       |
| No. closes                  | 892       |
| No. initial entries         | 487       |
| No. reentries               | 425       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 892       |
| Average n fills per day     | 3.18      |
| Mean hours stuck            | 8.43562   |
| Max hours stuck             | 5727.67   |
| PNL sum                     | 703.3     |
| Profit sum                  | 703.3     |
| Loss sum                    | 0.0       |
| Fee sum                     | -7.367    |
| Biggest pos size            | 24473.0   |
| Biggest pos cost            | 1542.0    |
| Volume quote                | 73669.9   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.149%    |
| Final balance               | 1080.03   |
| Final equity                | 1080.0    |
| Net PNL + fees              | 80.0258   |
| Total gain                  | 8.076%    |
| Average daily gain          | 0.0146%   |
| DG mean std ratio           | 0.03213   |
| Price action distance mean  | 0.076887  |
| Price action distance std   | 0.0938389 |
| Price action distance max   | 0.455928  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9239    |
| Equity/balance ratio std    | 0.01257   |
| No. fills                   | 1341      |
| No. entries                 | 608       |
| No. closes                  | 733       |
| No. initial entries         | 321       |
| No. reentries               | 287       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 733       |
| Average n fills per day     | 2.36      |
| Mean hours stuck            | 11.8953   |
| Max hours stuck             | 2102.2    |
| PNL sum                     | 80.76     |
| Profit sum                  | 80.76     |
| Loss sum                    | 0.0       |
| Fee sum                     | -0.7332   |
| Biggest pos size            | 2685.0    |
| Biggest pos cost            | 96.93     |
| Volume quote                | 7332.39   |
+-----------------------------+-----------+
