+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 567.999   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.423%    |
| Final balance               | 8855.21   |
| Final equity                | 8824.9    |
| Net PNL + fees              | 7855.21   |
| Total gain                  | 813.9%    |
| Average daily gain          | 0.448%    |
| DG mean std ratio           | 0.1075    |
| Price action distance mean  | 0.0236834 |
| Price action distance std   | 0.0663017 |
| Price action distance max   | 0.828962  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.5879    |
| Equity/balance ratio std    | 0.04117   |
| No. fills                   | 31369     |
| No. entries                 | 17984     |
| No. closes                  | 13385     |
| No. initial entries         | 12411     |
| No. reentries               | 5573      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 13385     |
| Average n fills per day     | 55.2      |
| Mean hours stuck            | 0.448656  |
| Max hours stuck             | 301.017   |
| PNL sum                     | 8139.0    |
| Profit sum                  | 8139.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -284.3    |
| Biggest pos size            | 38326.0   |
| Biggest pos cost            | 7713.0    |
| Volume quote                | 2842600.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -26.4%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -940.249  |
| Total gain                  | -94.01%   |
| Average daily gain          | -0.807%   |
| DG mean std ratio           | -0.06919  |
| Price action distance mean  | 0.459586  |
| Price action distance std   | 0.330809  |
| Price action distance max   | 0.91082   |
| Closest bankruptcy          | 5.703%    |
| Lowest equity/balance ratio | 0.07028   |
| Equity/balance ratio std    | 0.09243   |
| No. fills                   | 233       |
| No. entries                 | 182       |
| No. closes                  | 50        |
| No. initial entries         | 14        |
| No. reentries               | 168       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 50        |
| Average n fills per day     | 0.41      |
| Mean hours stuck            | 69.9075   |
| Max hours stuck             | 11954.6   |
| PNL sum                     | -940.1    |
| Profit sum                  | 15.37     |
| Loss sum                    | -955.5    |
| Fee sum                     | -0.1444   |
| Biggest pos size            | 3113.0    |
| Biggest pos cost            | 92.47     |
| Volume quote                | 1351.23   |
+-----------------------------+-----------+
