+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | bybit    |
| Market type                 | futures  |
| Symbol                      | DOTUSDT  |
| No. days                    | 567.999  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.129%   |
| Final balance               | 1628.4   |
| Final equity                | 1174.58  |
| Net PNL + fees              | 628.404  |
| Total gain                  | 65.47%   |
| Average daily gain          | 0.0444%  |
| DG mean std ratio           | 0.02467  |
| Price action distance mean  | 0.106724 |
| Price action distance std   | 0.205865 |
| Price action distance max   | 1.07373  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.6553   |
| Equity/balance ratio std    | 0.08388  |
| No. fills                   | 16857    |
| No. entries                 | 9169     |
| No. closes                  | 7688     |
| No. initial entries         | 7552     |
| No. reentries               | 1617     |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 5        |
| No. normal closes           | 7683     |
| Average n fills per day     | 29.7     |
| Mean hours stuck            | 0.81419  |
| Max hours stuck             | 1738.3   |
| PNL sum                     | 654.7    |
| Profit sum                  | 656.3    |
| Loss sum                    | -1.597   |
| Fee sum                     | -26.34   |
| Biggest pos size            | 86.6     |
| Biggest pos cost            | 1085.0   |
| Volume quote                | 263437.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | -7.21%   |
| Final balance               | 0.001    |
| Final equity                | 0.001    |
| Net PNL + fees              | -929.396 |
| Total gain                  | -92.87%  |
| Average daily gain          | -0.807%  |
| DG mean std ratio           | -0.08078 |
| Price action distance mean  | 0.356092 |
| Price action distance std   | 0.219166 |
| Price action distance max   | 0.731932 |
| Closest bankruptcy          | 5.762%   |
| Lowest equity/balance ratio | 0.0865   |
| Equity/balance ratio std    | 0.0927   |
| No. fills                   | 1238     |
| No. entries                 | 809      |
| No. closes                  | 428      |
| No. initial entries         | 396      |
| No. reentries               | 407      |
| No. unstuck entries         | 6        |
| No. unstuck closes          | 31       |
| No. normal closes           | 397      |
| Average n fills per day     | 2.18     |
| Mean hours stuck            | 11.1738  |
| Max hours stuck             | 12419.4  |
| PNL sum                     | -928.7   |
| Profit sum                  | 17.25    |
| Loss sum                    | -945.9   |
| Fee sum                     | -0.7086  |
| Biggest pos size            | 33.5     |
| Biggest pos cost            | 339.2    |
| Volume quote                | 6761.07  |
+-----------------------------+----------+
