+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | XRPUSDT   |
| No. days                    | 567.999   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.201%    |
| Final balance               | 2137.68   |
| Final equity                | 2137.04   |
| Net PNL + fees              | 1137.68   |
| Total gain                  | 118.8%    |
| Average daily gain          | 0.135%    |
| DG mean std ratio           | 0.2473    |
| Price action distance mean  | 0.0084305 |
| Price action distance std   | 0.0131818 |
| Price action distance max   | 0.478945  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7843    |
| Equity/balance ratio std    | 0.006733  |
| No. fills                   | 26297     |
| No. entries                 | 15200     |
| No. closes                  | 11097     |
| No. initial entries         | 10122     |
| No. reentries               | 5073      |
| No. unstuck entries         | 5         |
| No. unstuck closes          | 117       |
| No. normal closes           | 10980     |
| Average n fills per day     | 46.3      |
| Mean hours stuck            | 0.539261  |
| Max hours stuck             | 54.2333   |
| PNL sum                     | 1188.0    |
| Profit sum                  | 1252.0    |
| Loss sum                    | -63.17    |
| Fee sum                     | -50.67    |
| Biggest pos size            | 3612.0    |
| Biggest pos cost            | 1357.0    |
| Volume quote                | 506735.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0426%   |
| Final balance               | 1083.89   |
| Final equity                | 1083.87   |
| Net PNL + fees              | 83.8898   |
| Total gain                  | 9.475%    |
| Average daily gain          | 0.0404%   |
| DG mean std ratio           | 0.01758   |
| Price action distance mean  | 0.0556589 |
| Price action distance std   | 0.111804  |
| Price action distance max   | 0.593063  |
| Closest bankruptcy          | 62.94%    |
| Lowest equity/balance ratio | 0.5148    |
| Equity/balance ratio std    | 0.06221   |
| No. fills                   | 18568     |
| No. entries                 | 11922     |
| No. closes                  | 6646      |
| No. initial entries         | 6404      |
| No. reentries               | 5511      |
| No. unstuck entries         | 7         |
| No. unstuck closes          | 47        |
| No. normal closes           | 6599      |
| Average n fills per day     | 32.7      |
| Mean hours stuck            | 0.747368  |
| Max hours stuck             | 647.383   |
| PNL sum                     | 94.75     |
| Profit sum                  | 269.6     |
| Loss sum                    | -174.8    |
| Fee sum                     | -10.86    |
| Biggest pos size            | 1197.0    |
| Biggest pos cost            | 370.4     |
| Volume quote                | 108606.0  |
+-----------------------------+-----------+
