+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | DOGEUSDT  |
| No. days                    | 567.999   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.292%    |
| Final balance               | 4513.55   |
| Final equity                | 4508.21   |
| Net PNL + fees              | 3513.55   |
| Total gain                  | 363.6%    |
| Average daily gain          | 0.278%    |
| DG mean std ratio           | 0.1696    |
| Price action distance mean  | 0.0172765 |
| Price action distance std   | 0.0214318 |
| Price action distance max   | 0.418399  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7318    |
| Equity/balance ratio std    | 0.0134    |
| No. fills                   | 30463     |
| No. entries                 | 19038     |
| No. closes                  | 11425     |
| No. initial entries         | 11064     |
| No. reentries               | 7974      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 11425     |
| Average n fills per day     | 53.6      |
| Mean hours stuck            | 0.460727  |
| Max hours stuck             | 117.483   |
| PNL sum                     | 3636.0    |
| Profit sum                  | 3636.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -122.9    |
| Biggest pos size            | 111212.0  |
| Biggest pos cost            | 3941.0    |
| Volume quote                | 1229330.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -26.4%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -996.53   |
| Total gain                  | -99.65%   |
| Average daily gain          | -0.807%   |
| DG mean std ratio           | -0.05543  |
| Price action distance mean  | 0.306507  |
| Price action distance std   | 0.107472  |
| Price action distance max   | 0.92427   |
| Closest bankruptcy          | 0.3199%   |
| Lowest equity/balance ratio | -0.1086   |
| Equity/balance ratio std    | 0.01395   |
| No. fills                   | 38        |
| No. entries                 | 21        |
| No. closes                  | 16        |
| No. initial entries         | 2         |
| No. reentries               | 19        |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 15        |
| No. normal closes           | 1         |
| Average n fills per day     | 0.0669    |
| Mean hours stuck            | 349.538   |
| Max hours stuck             | 12956.6   |
| PNL sum                     | -996.5    |
| Profit sum                  | 0.331     |
| Loss sum                    | -996.8    |
| Fee sum                     | -0.02072  |
| Biggest pos size            | 14517.0   |
| Biggest pos cost            | 90.95     |
| Volume quote                | 116.337   |
+-----------------------------+-----------+
