+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | XRPUSDT   |
| No. days                    | 567.999   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.169%    |
| Final balance               | 2389.36   |
| Final equity                | 2387.79   |
| Net PNL + fees              | 1389.36   |
| Total gain                  | 144.4%    |
| Average daily gain          | 0.156%    |
| DG mean std ratio           | 0.19      |
| Price action distance mean  | 0.0151483 |
| Price action distance std   | 0.0158888 |
| Price action distance max   | 0.327563  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7756    |
| Equity/balance ratio std    | 0.006474  |
| No. fills                   | 22382     |
| No. entries                 | 13598     |
| No. closes                  | 8784      |
| No. initial entries         | 8579      |
| No. reentries               | 5019      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 8784      |
| Average n fills per day     | 39.4      |
| Mean hours stuck            | 0.617055  |
| Max hours stuck             | 175.783   |
| PNL sum                     | 1444.0    |
| Profit sum                  | 1444.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -54.76    |
| Biggest pos size            | 3989.0    |
| Biggest pos cost            | 2044.0    |
| Volume quote                | 547645.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.148%    |
| Final balance               | 1079.14   |
| Final equity                | 1076.9    |
| Net PNL + fees              | 79.1391   |
| Total gain                  | 8.241%    |
| Average daily gain          | 0.0158%   |
| DG mean std ratio           | 0.02098   |
| Price action distance mean  | 0.156515  |
| Price action distance std   | 0.168352  |
| Price action distance max   | 0.626653  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.848     |
| Equity/balance ratio std    | 0.03021   |
| No. fills                   | 18625     |
| No. entries                 | 14746     |
| No. closes                  | 3879      |
| No. initial entries         | 2561      |
| No. reentries               | 12185     |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 2         |
| No. normal closes           | 3877      |
| Average n fills per day     | 32.8      |
| Mean hours stuck            | 1.14219   |
| Max hours stuck             | 3031.62   |
| PNL sum                     | 82.41     |
| Profit sum                  | 82.52     |
| Loss sum                    | -0.1159   |
| Fee sum                     | -3.27     |
| Biggest pos size            | 284.0     |
| Biggest pos cost            | 95.79     |
| Volume quote                | 32696.5   |
+-----------------------------+-----------+
