+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | DOTUSDT   |
| No. days                    | 567.999   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.148%    |
| Final balance               | 1522.32   |
| Final equity                | 1521.93   |
| Net PNL + fees              | 522.323   |
| Total gain                  | 52.92%    |
| Average daily gain          | 0.0779%   |
| DG mean std ratio           | 0.08825   |
| Price action distance mean  | 0.0184704 |
| Price action distance std   | 0.0301142 |
| Price action distance max   | 0.729274  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7883    |
| Equity/balance ratio std    | 0.009794  |
| No. fills                   | 2943      |
| No. entries                 | 1984      |
| No. closes                  | 959       |
| No. initial entries         | 705       |
| No. reentries               | 1237      |
| No. unstuck entries         | 42        |
| No. unstuck closes          | 108       |
| No. normal closes           | 851       |
| Average n fills per day     | 5.18      |
| Mean hours stuck            | 4.80506   |
| Max hours stuck             | 191.833   |
| PNL sum                     | 529.2     |
| Profit sum                  | 813.1     |
| Loss sum                    | -283.9    |
| Fee sum                     | -6.855    |
| Biggest pos size            | 104.4     |
| Biggest pos cost            | 795.0     |
| Volume quote                | 68549.9   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -4.81%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -937.689  |
| Total gain                  | -93.75%   |
| Average daily gain          | -0.807%   |
| DG mean std ratio           | -0.08079  |
| Price action distance mean  | 0.330317  |
| Price action distance std   | 0.156847  |
| Price action distance max   | 0.646293  |
| Closest bankruptcy          | 5.688%    |
| Lowest equity/balance ratio | 0.08534   |
| Equity/balance ratio std    | 0.09112   |
| No. fills                   | 169       |
| No. entries                 | 62        |
| No. closes                  | 106       |
| No. initial entries         | 18        |
| No. reentries               | 14        |
| No. unstuck entries         | 30        |
| No. unstuck closes          | 89        |
| No. normal closes           | 17        |
| Average n fills per day     | 0.298     |
| Mean hours stuck            | 80.188    |
| Max hours stuck             | 12419.5   |
| PNL sum                     | -937.5    |
| Profit sum                  | 2.955     |
| Loss sum                    | -940.4    |
| Fee sum                     | -0.2261   |
| Biggest pos size            | 47.9      |
| Biggest pos cost            | 502.3     |
| Volume quote                | 1874.71   |
+-----------------------------+-----------+
