+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 567.999   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.176%    |
| Final balance               | 1945.95   |
| Final equity                | 1940.14   |
| Net PNL + fees              | 945.951   |
| Total gain                  | 101.4%    |
| Average daily gain          | 0.126%    |
| DG mean std ratio           | 0.09171   |
| Price action distance mean  | 0.0338093 |
| Price action distance std   | 0.0452139 |
| Price action distance max   | 0.86582   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6907    |
| Equity/balance ratio std    | 0.01703   |
| No. fills                   | 35990     |
| No. entries                 | 24834     |
| No. closes                  | 11156     |
| No. initial entries         | 10519     |
| No. reentries               | 14303     |
| No. unstuck entries         | 12        |
| No. unstuck closes          | 209       |
| No. normal closes           | 10947     |
| Average n fills per day     | 63.4      |
| Mean hours stuck            | 0.397202  |
| Max hours stuck             | 203.383   |
| PNL sum                     | 1014.0    |
| Profit sum                  | 1926.0    |
| Loss sum                    | -912.0    |
| Fee sum                     | -68.03    |
| Biggest pos size            | 16040.0   |
| Biggest pos cost            | 1608.0    |
| Volume quote                | 680334.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -7.21%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -916.841  |
| Total gain                  | -91.01%   |
| Average daily gain          | -0.807%   |
| DG mean std ratio           | -0.0644   |
| Price action distance mean  | 0.0999433 |
| Price action distance std   | 0.17182   |
| Price action distance max   | 0.727974  |
| Closest bankruptcy          | 5.94%     |
| Lowest equity/balance ratio | 0.1094    |
| Equity/balance ratio std    | 0.06399   |
| No. fills                   | 8943      |
| No. entries                 | 5461      |
| No. closes                  | 3481      |
| No. initial entries         | 3207      |
| No. reentries               | 2250      |
| No. unstuck entries         | 4         |
| No. unstuck closes          | 127       |
| No. normal closes           | 3354      |
| Average n fills per day     | 15.7      |
| Mean hours stuck            | 1.5535    |
| Max hours stuck             | 10414.5   |
| PNL sum                     | -910.1    |
| Profit sum                  | 183.2     |
| Loss sum                    | -1093.0   |
| Fee sum                     | -6.744    |
| Biggest pos size            | 11348.0   |
| Biggest pos cost            | 390.0     |
| Volume quote                | 67069.9   |
+-----------------------------+-----------+
