+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | bybit    |
| Market type                 | futures  |
| Symbol                      | LTCUSDT  |
| No. days                    | 567.999  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.0275%  |
| Final balance               | 1081.23  |
| Final equity                | 761.439  |
| Net PNL + fees              | 81.2328  |
| Total gain                  | 9.817%   |
| Average daily gain          | -0.0302% |
| DG mean std ratio           | -0.0162  |
| Price action distance mean  | 0.564528 |
| Price action distance std   | 0.55356  |
| Price action distance max   | 2.71786  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.6549   |
| Equity/balance ratio std    | 0.09917  |
| No. fills                   | 5199     |
| No. entries                 | 3532     |
| No. closes                  | 1667     |
| No. initial entries         | 1579     |
| No. reentries               | 1934     |
| No. unstuck entries         | 19       |
| No. unstuck closes          | 67       |
| No. normal closes           | 1600     |
| Average n fills per day     | 9.15     |
| Mean hours stuck            | 2.65938  |
| Max hours stuck             | 4195.3   |
| PNL sum                     | 98.17    |
| Profit sum                  | 415.8    |
| Loss sum                    | -317.7   |
| Fee sum                     | -16.94   |
| Biggest pos size            | 3.6      |
| Biggest pos cost            | 695.7    |
| Volume quote                | 169371.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | 0.0898%  |
| Final balance               | 1290.4   |
| Final equity                | 1290.4   |
| Net PNL + fees              | 290.396  |
| Total gain                  | 30.25%   |
| Average daily gain          | 0.0972%  |
| DG mean std ratio           | 0.02954  |
| Price action distance mean  | 0.102068 |
| Price action distance std   | 0.128054 |
| Price action distance max   | 0.553515 |
| Closest bankruptcy          | 37.91%   |
| Lowest equity/balance ratio | 0.4065   |
| Equity/balance ratio std    | 0.09846  |
| No. fills                   | 6418     |
| No. entries                 | 4168     |
| No. closes                  | 2250     |
| No. initial entries         | 2232     |
| No. reentries               | 1935     |
| No. unstuck entries         | 1        |
| No. unstuck closes          | 9        |
| No. normal closes           | 2241     |
| Average n fills per day     | 11.3     |
| Mean hours stuck            | 2.129    |
| Max hours stuck             | 3029.7   |
| PNL sum                     | 302.5    |
| Profit sum                  | 344.2    |
| Loss sum                    | -41.75   |
| Fee sum                     | -12.07   |
| Biggest pos size            | 4.4      |
| Biggest pos cost            | 588.4    |
| Volume quote                | 120701.0 |
+-----------------------------+----------+
