+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | TRXUSDT   |
| No. days                    | 919.663   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0894%   |
| Final balance               | 2110.5    |
| Final equity                | 1525.34   |
| Net PNL + fees              | 1110.5    |
| Total gain                  | 115.7%    |
| Average daily gain          | 0.0955%   |
| DG mean std ratio           | 0.0309    |
| Price action distance mean  | 0.171665  |
| Price action distance std   | 0.220146  |
| Price action distance max   | 1.11512   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.5207    |
| Equity/balance ratio std    | 0.1314    |
| No. fills                   | 16539     |
| No. entries                 | 10206     |
| No. closes                  | 6333      |
| No. initial entries         | 6081      |
| No. reentries               | 4125      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 6333      |
| Average n fills per day     | 18.0      |
| Mean hours stuck            | 2.17457   |
| Max hours stuck             | 5538.93   |
| PNL sum                     | 1157.0    |
| Profit sum                  | 1157.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -46.41    |
| Biggest pos size            | 70661.0   |
| Biggest pos cost            | 1919.0    |
| Volume quote                | 464073.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0298%   |
| Final balance               | 1025.24   |
| Final equity                | 1025.24   |
| Net PNL + fees              | 25.2388   |
| Total gain                  | 2.721%    |
| Average daily gain          | 0.00364%  |
| DG mean std ratio           | 0.008427  |
| Price action distance mean  | 0.0490751 |
| Price action distance std   | 0.0974913 |
| Price action distance max   | 0.600095  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8636    |
| Equity/balance ratio std    | 0.01598   |
| No. fills                   | 11923     |
| No. entries                 | 7111      |
| No. closes                  | 4812      |
| No. initial entries         | 4403      |
| No. reentries               | 2695      |
| No. unstuck entries         | 13        |
| No. unstuck closes          | 270       |
| No. normal closes           | 4542      |
| Average n fills per day     | 13.0      |
| Mean hours stuck            | 3.96193   |
| Max hours stuck             | 203.333   |
| PNL sum                     | 27.21     |
| Profit sum                  | 51.19     |
| Loss sum                    | -23.98    |
| Fee sum                     | -1.973    |
| Biggest pos size            | 3834.0    |
| Biggest pos cost            | 93.4      |
| Volume quote                | 19731.0   |
+-----------------------------+-----------+
