+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | TRXUSDT   |
| No. days                    | 919.663   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0334%   |
| Final balance               | 1166.11   |
| Final equity                | 1165.18   |
| Net PNL + fees              | 166.105   |
| Total gain                  | 17.41%    |
| Average daily gain          | 0.0262%   |
| DG mean std ratio           | 0.01925   |
| Price action distance mean  | 0.0629489 |
| Price action distance std   | 0.0900665 |
| Price action distance max   | 1.20478   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7267    |
| Equity/balance ratio std    | 0.03445   |
| No. fills                   | 10823     |
| No. entries                 | 2367      |
| No. closes                  | 8456      |
| No. initial entries         | 626       |
| No. reentries               | 1644      |
| No. unstuck entries         | 97        |
| No. unstuck closes          | 6645      |
| No. normal closes           | 1811      |
| Average n fills per day     | 11.8      |
| Mean hours stuck            | 4.67923   |
| Max hours stuck             | 457.683   |
| PNL sum                     | 174.1     |
| Profit sum                  | 816.5     |
| Loss sum                    | -642.4    |
| Fee sum                     | -7.983    |
| Biggest pos size            | 41294.0   |
| Biggest pos cost            | 752.2     |
| Volume quote                | 79828.8   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.00115%  |
| Final balance               | 1005.29   |
| Final equity                | 860.121   |
| Net PNL + fees              | 5.29185   |
| Total gain                  | 0.532%    |
| Average daily gain          | -0.00614% |
| DG mean std ratio           | -0.00429  |
| Price action distance mean  | 0.641852  |
| Price action distance std   | 0.266406  |
| Price action distance max   | 0.932666  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.5559    |
| Equity/balance ratio std    | 0.08845   |
| No. fills                   | 35        |
| No. entries                 | 24        |
| No. closes                  | 11        |
| No. initial entries         | 11        |
| No. reentries               | 13        |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 11        |
| Average n fills per day     | 0.0381    |
| Mean hours stuck            | 735.731   |
| Max hours stuck             | 20087.8   |
| PNL sum                     | 5.32      |
| Profit sum                  | 5.32      |
| Loss sum                    | 0.0       |
| Fee sum                     | -0.02766  |
| Biggest pos size            | 2651.0    |
| Biggest pos cost            | 32.23     |
| Volume quote                | 276.57    |
+-----------------------------+-----------+
