+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | ADAUSDT  |
| No. days                    | 903.666  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.136%   |
| Final balance               | 1850.53  |
| Final equity                | 1505.63  |
| Net PNL + fees              | 850.526  |
| Total gain                  | 89.0%    |
| Average daily gain          | 0.0537%  |
| DG mean std ratio           | 0.04209  |
| Price action distance mean  | 0.118718 |
| Price action distance std   | 0.207905 |
| Price action distance max   | 1.89929  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.6729   |
| Equity/balance ratio std    | 0.06083  |
| No. fills                   | 31157    |
| No. entries                 | 23965    |
| No. closes                  | 7192     |
| No. initial entries         | 6176     |
| No. reentries               | 17772    |
| No. unstuck entries         | 17       |
| No. unstuck closes          | 997      |
| No. normal closes           | 6195     |
| Average n fills per day     | 34.5     |
| Mean hours stuck            | 1.03026  |
| Max hours stuck             | 567.9    |
| PNL sum                     | 890.0    |
| Profit sum                  | 1005.0   |
| Loss sum                    | -114.8   |
| Fee sum                     | -39.52   |
| Biggest pos size            | 10430.0  |
| Biggest pos cost            | 969.2    |
| Volume quote                | 395231.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | -3.03%   |
| Final balance               | 0.001    |
| Final equity                | 0.001    |
| Net PNL + fees              | -914.194 |
| Total gain                  | -91.28%  |
| Average daily gain          | -0.508%  |
| DG mean std ratio           | -0.02092 |
| Price action distance mean  | 0.262825 |
| Price action distance std   | 0.200883 |
| Price action distance max   | 0.646455 |
| Closest bankruptcy          | 5.828%   |
| Lowest equity/balance ratio | 0.09207  |
| Equity/balance ratio std    | 0.1776   |
| No. fills                   | 1286     |
| No. entries                 | 648      |
| No. closes                  | 637      |
| No. initial entries         | 509      |
| No. reentries               | 139      |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 127      |
| No. normal closes           | 510      |
| Average n fills per day     | 1.42     |
| Mean hours stuck            | 33.1621  |
| Max hours stuck             | 13703.7  |
| PNL sum                     | -912.8   |
| Profit sum                  | 43.66    |
| Loss sum                    | -956.5   |
| Fee sum                     | -1.344   |
| Biggest pos size            | 11841.0  |
| Biggest pos cost            | 521.2    |
| Volume quote                | 12925.3  |
+-----------------------------+----------+
