+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | LTCUSDT   |
| No. days                    | 925.66    |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0509%   |
| Final balance               | 1265.51   |
| Final equity                | 1265.17   |
| Net PNL + fees              | 265.514   |
| Total gain                  | 27.31%    |
| Average daily gain          | 0.0308%   |
| DG mean std ratio           | 0.03028   |
| Price action distance mean  | 0.0308724 |
| Price action distance std   | 0.0328609 |
| Price action distance max   | 0.906155  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7623    |
| Equity/balance ratio std    | 0.008259  |
| No. fills                   | 1592      |
| No. entries                 | 925       |
| No. closes                  | 667       |
| No. initial entries         | 270       |
| No. reentries               | 372       |
| No. unstuck entries         | 283       |
| No. unstuck closes          | 64        |
| No. normal closes           | 603       |
| Average n fills per day     | 1.72      |
| Mean hours stuck            | 20.5133   |
| Max hours stuck             | 422.967   |
| PNL sum                     | 273.1     |
| Profit sum                  | 782.8     |
| Loss sum                    | -509.7    |
| Fee sum                     | -7.594    |
| Biggest pos size            | 14.3      |
| Biggest pos cost            | 665.1     |
| Volume quote                | 75936.4   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0283%   |
| Final balance               | 1139.78   |
| Final equity                | 1135.64   |
| Net PNL + fees              | 139.783   |
| Total gain                  | 14.96%    |
| Average daily gain          | 0.0218%   |
| DG mean std ratio           | 0.01726   |
| Price action distance mean  | 0.0501118 |
| Price action distance std   | 0.0387417 |
| Price action distance max   | 0.248492  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8307    |
| Equity/balance ratio std    | 0.01614   |
| No. fills                   | 3360      |
| No. entries                 | 2515      |
| No. closes                  | 845       |
| No. initial entries         | 319       |
| No. reentries               | 2097      |
| No. unstuck entries         | 99        |
| No. unstuck closes          | 179       |
| No. normal closes           | 666       |
| Average n fills per day     | 3.63      |
| Mean hours stuck            | 8.29259   |
| Max hours stuck             | 399.083   |
| PNL sum                     | 149.6     |
| Profit sum                  | 1321.0    |
| Loss sum                    | -1171.0   |
| Fee sum                     | -9.834    |
| Biggest pos size            | 12.9      |
| Biggest pos cost            | 592.9     |
| Volume quote                | 98342.0   |
+-----------------------------+-----------+
