+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOTUSDT   |
| No. days                    | 699.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.135%    |
| Final balance               | 1605.64   |
| Final equity                | 1603.67   |
| Net PNL + fees              | 605.64    |
| Total gain                  | 63.15%    |
| Average daily gain          | 0.0714%   |
| DG mean std ratio           | 0.07247   |
| Price action distance mean  | 0.0400332 |
| Price action distance std   | 0.0850429 |
| Price action distance max   | 0.834451  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7786    |
| Equity/balance ratio std    | 0.02964   |
| No. fills                   | 22655     |
| No. entries                 | 13035     |
| No. closes                  | 9620      |
| No. initial entries         | 9536      |
| No. reentries               | 3498      |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 38        |
| No. normal closes           | 9582      |
| Average n fills per day     | 32.4      |
| Mean hours stuck            | 2.61655   |
| Max hours stuck             | 935.833   |
| PNL sum                     | 631.5     |
| Profit sum                  | 652.5     |
| Loss sum                    | -21.0     |
| Fee sum                     | -25.87    |
| Biggest pos size            | 74.1      |
| Biggest pos cost            | 783.8     |
| Volume quote                | 258717.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.91%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -911.749  |
| Total gain                  | -90.91%   |
| Average daily gain          | -0.656%   |
| DG mean std ratio           | -0.0426   |
| Price action distance mean  | 0.0938965 |
| Price action distance std   | 0.10997   |
| Price action distance max   | 0.645244  |
| Closest bankruptcy          | 5.997%    |
| Lowest equity/balance ratio | 0.09005   |
| Equity/balance ratio std    | 0.05119   |
| No. fills                   | 2597      |
| No. entries                 | 2178      |
| No. closes                  | 418       |
| No. initial entries         | 364       |
| No. reentries               | 1811      |
| No. unstuck entries         | 3         |
| No. unstuck closes          | 53        |
| No. normal closes           | 365       |
| Average n fills per day     | 3.71      |
| Mean hours stuck            | 10.7098   |
| Max hours stuck             | 13257.0   |
| PNL sum                     | -909.1    |
| Profit sum                  | 78.25     |
| Loss sum                    | -987.3    |
| Fee sum                     | -2.659    |
| Biggest pos size            | 99.6      |
| Biggest pos cost            | 537.7     |
| Volume quote                | 26068.9   |
+-----------------------------+-----------+
