+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | BNBUSDT   |
| No. days                    | 893.666   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0848%   |
| Final balance               | 1991.52   |
| Final equity                | 1990.08   |
| Net PNL + fees              | 991.519   |
| Total gain                  | 103.6%    |
| Average daily gain          | 0.0968%   |
| DG mean std ratio           | 0.05159   |
| Price action distance mean  | 0.0247999 |
| Price action distance std   | 0.0596945 |
| Price action distance max   | 1.598     |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.4406    |
| Equity/balance ratio std    | 0.03666   |
| No. fills                   | 21145     |
| No. entries                 | 12931     |
| No. closes                  | 8214      |
| No. initial entries         | 7860      |
| No. reentries               | 5068      |
| No. unstuck entries         | 3         |
| No. unstuck closes          | 180       |
| No. normal closes           | 8034      |
| Average n fills per day     | 23.7      |
| Mean hours stuck            | 2.36055   |
| Max hours stuck             | 346.55    |
| PNL sum                     | 1036.0    |
| Profit sum                  | 1087.0    |
| Loss sum                    | -51.0     |
| Fee sum                     | -44.74    |
| Biggest pos size            | 58.8      |
| Biggest pos cost            | 1775.0    |
| Volume quote                | 447389.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -0.187%   |
| Final balance               | 859.184   |
| Final equity                | 608.911   |
| Net PNL + fees              | -140.816  |
| Total gain                  | -13.99%   |
| Average daily gain          | 0.275%    |
| DG mean std ratio           | 0.03156   |
| Price action distance mean  | 0.503576  |
| Price action distance std   | 0.395194  |
| Price action distance max   | 0.910612  |
| Closest bankruptcy          | 8.155%    |
| Lowest equity/balance ratio | 0.08285   |
| Equity/balance ratio std    | 0.2721    |
| No. fills                   | 3997      |
| No. entries                 | 2374      |
| No. closes                  | 1623      |
| No. initial entries         | 1588      |
| No. reentries               | 780       |
| No. unstuck entries         | 6         |
| No. unstuck closes          | 25        |
| No. normal closes           | 1598      |
| Average n fills per day     | 4.47      |
| Mean hours stuck            | 13.3883   |
| Max hours stuck             | 11145.8   |
| PNL sum                     | -139.9    |
| Profit sum                  | 29.72     |
| Loss sum                    | -169.6    |
| Fee sum                     | -0.965    |
| Biggest pos size            | 7.62      |
| Biggest pos cost            | 94.4      |
| Volume quote                | 9649.65   |
+-----------------------------+-----------+
