+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOTUSDT   |
| No. days                    | 699.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.174%    |
| Final balance               | 1837.01   |
| Final equity                | 1518.72   |
| Net PNL + fees              | 837.012   |
| Total gain                  | 92.92%    |
| Average daily gain          | 0.0662%   |
| DG mean std ratio           | 0.05584   |
| Price action distance mean  | 0.100199  |
| Price action distance std   | 0.198474  |
| Price action distance max   | 1.11943   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.777     |
| Equity/balance ratio std    | 0.05099   |
| No. fills                   | 68278     |
| No. entries                 | 39840     |
| No. closes                  | 28438     |
| No. initial entries         | 28426     |
| No. reentries               | 11414     |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 13        |
| No. normal closes           | 28425     |
| Average n fills per day     | 97.6      |
| Mean hours stuck            | 0.797616  |
| Max hours stuck             | 1712.85   |
| PNL sum                     | 929.2     |
| Profit sum                  | 992.3     |
| Loss sum                    | -63.09    |
| Fee sum                     | -92.23    |
| Biggest pos size            | 126.7     |
| Biggest pos cost            | 949.9     |
| Volume quote                | 922259.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -0.21%    |
| Final balance               | 479.714   |
| Final equity                | 479.714   |
| Net PNL + fees              | -520.286  |
| Total gain                  | -50.96%   |
| Average daily gain          | -0.077%   |
| DG mean std ratio           | -0.03386  |
| Price action distance mean  | 0.0505283 |
| Price action distance std   | 0.0901915 |
| Price action distance max   | 0.566787  |
| Closest bankruptcy          | 29.76%    |
| Lowest equity/balance ratio | 0.3459    |
| Equity/balance ratio std    | 0.0653    |
| No. fills                   | 23898     |
| No. entries                 | 14515     |
| No. closes                  | 9383      |
| No. initial entries         | 9326      |
| No. reentries               | 5173      |
| No. unstuck entries         | 16        |
| No. unstuck closes          | 57        |
| No. normal closes           | 9326      |
| Average n fills per day     | 34.2      |
| Mean hours stuck            | 1.31134   |
| Max hours stuck             | 165.183   |
| PNL sum                     | -509.6    |
| Profit sum                  | 149.2     |
| Loss sum                    | -658.7    |
| Fee sum                     | -10.73    |
| Biggest pos size            | 82.0      |
| Biggest pos cost            | 527.4     |
| Volume quote                | 107339.0  |
+-----------------------------+-----------+
