+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | LTCUSDT   |
| No. days                    | 925.66    |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | -0.0675%  |
| Final balance               | 659.129   |
| Final equity                | 612.127   |
| Net PNL + fees              | -340.871  |
| Total gain                  | -30.14%   |
| Average daily gain          | -0.0278%  |
| DG mean std ratio           | -0.01267  |
| Price action distance mean  | 0.348613  |
| Price action distance std   | 0.460502  |
| Price action distance max   | 2.67056   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.5167    |
| Equity/balance ratio std    | 0.1272    |
| No. fills                   | 19148     |
| No. entries                 | 12683     |
| No. closes                  | 6465      |
| No. initial entries         | 5989      |
| No. reentries               | 6680      |
| No. unstuck entries         | 14        |
| No. unstuck closes          | 26        |
| No. normal closes           | 6439      |
| Average n fills per day     | 20.7      |
| Mean hours stuck            | 2.16782   |
| Max hours stuck             | 2409.95   |
| PNL sum                     | -301.4    |
| Profit sum                  | 901.6     |
| Loss sum                    | -1203.0   |
| Fee sum                     | -39.51    |
| Biggest pos size            | 13.9      |
| Biggest pos cost            | 1050.0    |
| Volume quote                | 395121.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0379%   |
| Final balance               | 1124.14   |
| Final equity                | 1123.72   |
| Net PNL + fees              | 124.136   |
| Total gain                  | 15.91%    |
| Average daily gain          | 0.0169%   |
| DG mean std ratio           | 0.01828   |
| Price action distance mean  | 0.0285599 |
| Price action distance std   | 0.0387588 |
| Price action distance max   | 0.311686  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8428    |
| Equity/balance ratio std    | 0.01608   |
| No. fills                   | 21807     |
| No. entries                 | 12997     |
| No. closes                  | 8810      |
| No. initial entries         | 7267      |
| No. reentries               | 5649      |
| No. unstuck entries         | 81        |
| No. unstuck closes          | 129       |
| No. normal closes           | 8681      |
| Average n fills per day     | 23.6      |
| Mean hours stuck            | 2.19437   |
| Max hours stuck             | 162.35    |
| PNL sum                     | 159.1     |
| Profit sum                  | 752.8     |
| Loss sum                    | -593.7    |
| Fee sum                     | -34.95    |
| Biggest pos size            | 7.4       |
| Biggest pos cost            | 404.7     |
| Volume quote                | 349476.0  |
+-----------------------------+-----------+
