+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | LTCUSDT  |
| No. days                    | 925.66   |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.098%   |
| Final balance               | 2279.72  |
| Final equity                | 699.947  |
| Net PNL + fees              | 1279.72  |
| Total gain                  | 132.5%   |
| Average daily gain          | 0.0083%  |
| DG mean std ratio           | 0.002772 |
| Price action distance mean  | 0.546104 |
| Price action distance std   | 0.904919 |
| Price action distance max   | 4.99965  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.2484   |
| Equity/balance ratio std    | 0.2295   |
| No. fills                   | 9963     |
| No. entries                 | 5625     |
| No. closes                  | 4338     |
| No. initial entries         | 4087     |
| No. reentries               | 1538     |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 4338     |
| Average n fills per day     | 10.8     |
| Mean hours stuck            | 5.8928   |
| Max hours stuck             | 5965.92  |
| PNL sum                     | 1325.0   |
| Profit sum                  | 1325.0   |
| Loss sum                    | 0.0      |
| Fee sum                     | -45.31   |
| Biggest pos size            | 18.1     |
| Biggest pos cost            | 2056.0   |
| Volume quote                | 453059.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | 0.0409%  |
| Final balance               | 1034.99  |
| Final equity                | 1035.12  |
| Net PNL + fees              | 34.9863  |
| Total gain                  | 3.519%   |
| Average daily gain          | 0.0159%  |
| DG mean std ratio           | 0.01004  |
| Price action distance mean  | 0.343189 |
| Price action distance std   | 0.273468 |
| Price action distance max   | 0.840664 |
| Closest bankruptcy          | 92.56%   |
| Lowest equity/balance ratio | 0.5249   |
| Equity/balance ratio std    | 0.0851   |
| No. fills                   | 263      |
| No. entries                 | 137      |
| No. closes                  | 126      |
| No. initial entries         | 66       |
| No. reentries               | 71       |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 126      |
| Average n fills per day     | 0.284    |
| Mean hours stuck            | 98.7371  |
| Max hours stuck             | 12991.0  |
| PNL sum                     | 35.19    |
| Profit sum                  | 35.19    |
| Loss sum                    | 0.0      |
| Fee sum                     | -0.2017  |
| Biggest pos size            | 1.8      |
| Biggest pos cost            | 99.06    |
| Volume quote                | 2016.82  |
+-----------------------------+----------+
