+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | binance    |
| Market type                 | futures    |
| Symbol                      | ADAUSDT    |
| No. days                    | 903.666    |
| Starting balance            | 1000.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.157%     |
| Final balance               | 2036.23    |
| Final equity                | 2028.59    |
| Net PNL + fees              | 1036.23    |
| Total gain                  | 124.5%     |
| Average daily gain          | 0.0828%    |
| DG mean std ratio           | 0.08628    |
| Price action distance mean  | 0.00778374 |
| Price action distance std   | 0.010798   |
| Price action distance max   | 0.568941   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.8186     |
| Equity/balance ratio std    | 0.00434    |
| No. fills                   | 61107      |
| No. entries                 | 29223      |
| No. closes                  | 31884      |
| No. initial entries         | 20378      |
| No. reentries               | 8448       |
| No. unstuck entries         | 397        |
| No. unstuck closes          | 2439       |
| No. normal closes           | 29445      |
| Average n fills per day     | 67.6       |
| Mean hours stuck            | 1.13979    |
| Max hours stuck             | 61.6667    |
| PNL sum                     | 1245.0     |
| Profit sum                  | 4497.0     |
| Loss sum                    | -3251.0    |
| Fee sum                     | -209.1     |
| Biggest pos size            | 18855.0    |
| Biggest pos cost            | 1255.0     |
| Volume quote                | 2091010.0  |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | -3.03%     |
| Final balance               | 0.001      |
| Final equity                | 0.001      |
| Net PNL + fees              | -960.31    |
| Total gain                  | -95.63%    |
| Average daily gain          | -0.508%    |
| DG mean std ratio           | -0.06852   |
| Price action distance mean  | 0.207911   |
| Price action distance std   | 0.169931   |
| Price action distance max   | 0.645528   |
| Closest bankruptcy          | 5.882%     |
| Lowest equity/balance ratio | 0.08877    |
| Equity/balance ratio std    | 0.0907     |
| No. fills                   | 2798       |
| No. entries                 | 1576       |
| No. closes                  | 1221       |
| No. initial entries         | 1130       |
| No. reentries               | 442        |
| No. unstuck entries         | 4          |
| No. unstuck closes          | 90         |
| No. normal closes           | 1131       |
| Average n fills per day     | 3.1        |
| Mean hours stuck            | 15.209     |
| Max hours stuck             | 12737.2    |
| PNL sum                     | -956.3     |
| Profit sum                  | 106.4      |
| Loss sum                    | -1063.0    |
| Fee sum                     | -4.038     |
| Biggest pos size            | 22076.0    |
| Biggest pos cost            | 550.7      |
| Volume quote                | 40140.6    |
+-----------------------------+------------+
