+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | LTCUSDT   |
| No. days                    | 925.66    |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0883%   |
| Final balance               | 1504.73   |
| Final equity                | 1112.67   |
| Net PNL + fees              | 504.732   |
| Total gain                  | 56.29%    |
| Average daily gain          | 0.0276%   |
| DG mean std ratio           | 0.0155    |
| Price action distance mean  | 0.337504  |
| Price action distance std   | 0.408841  |
| Price action distance max   | 2.68912   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6355    |
| Equity/balance ratio std    | 0.09148   |
| No. fills                   | 17564     |
| No. entries                 | 11211     |
| No. closes                  | 6353      |
| No. initial entries         | 2469      |
| No. reentries               | 8715      |
| No. unstuck entries         | 27        |
| No. unstuck closes          | 92        |
| No. normal closes           | 6261      |
| Average n fills per day     | 19.0      |
| Mean hours stuck            | 3.89206   |
| Max hours stuck             | 1126.9    |
| PNL sum                     | 562.9     |
| Profit sum                  | 1397.0    |
| Loss sum                    | -833.6    |
| Fee sum                     | -58.22    |
| Biggest pos size            | 10.5      |
| Biggest pos cost            | 998.4     |
| Volume quote                | 582157.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0656%   |
| Final balance               | 1354.76   |
| Final equity                | 1347.22   |
| Net PNL + fees              | 354.757   |
| Total gain                  | 37.03%    |
| Average daily gain          | 0.0511%   |
| DG mean std ratio           | 0.02596   |
| Price action distance mean  | 0.0941543 |
| Price action distance std   | 0.0758599 |
| Price action distance max   | 0.382079  |
| Closest bankruptcy          | 89.4%     |
| Lowest equity/balance ratio | 0.7056    |
| Equity/balance ratio std    | 0.04404   |
| No. fills                   | 8230      |
| No. entries                 | 6992      |
| No. closes                  | 1238      |
| No. initial entries         | 1058      |
| No. reentries               | 5933      |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 7         |
| No. normal closes           | 1231      |
| Average n fills per day     | 8.89      |
| Mean hours stuck            | 4.0808    |
| Max hours stuck             | 603.767   |
| PNL sum                     | 370.3     |
| Profit sum                  | 389.9     |
| Loss sum                    | -19.58    |
| Fee sum                     | -15.59    |
| Biggest pos size            | 8.8       |
| Biggest pos cost            | 635.0     |
| Volume quote                | 155895.0  |
+-----------------------------+-----------+
