+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | LTCUSDT   |
| No. days                    | 925.66    |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0731%   |
| Final balance               | 1402.77   |
| Final equity                | 915.08    |
| Net PNL + fees              | 402.77    |
| Total gain                  | 42.76%    |
| Average daily gain          | 0.00174%  |
| DG mean std ratio           | 0.001164  |
| Price action distance mean  | 0.424756  |
| Price action distance std   | 0.728493  |
| Price action distance max   | 4.05543   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6009    |
| Equity/balance ratio std    | 0.1165    |
| No. fills                   | 12230     |
| No. entries                 | 6843      |
| No. closes                  | 5387      |
| No. initial entries         | 5198      |
| No. reentries               | 1637      |
| No. unstuck entries         | 8         |
| No. unstuck closes          | 24        |
| No. normal closes           | 5363      |
| Average n fills per day     | 13.2      |
| Mean hours stuck            | 6.76488   |
| Max hours stuck             | 1991.77   |
| PNL sum                     | 427.6     |
| Profit sum                  | 567.9     |
| Loss sum                    | -140.4    |
| Fee sum                     | -24.81    |
| Biggest pos size            | 11.4      |
| Biggest pos cost            | 733.1     |
| Volume quote                | 248078.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0392%   |
| Final balance               | 1198.87   |
| Final equity                | 1198.82   |
| Net PNL + fees              | 198.867   |
| Total gain                  | 21.05%    |
| Average daily gain          | 0.0292%   |
| DG mean std ratio           | 0.02085   |
| Price action distance mean  | 0.0393129 |
| Price action distance std   | 0.0550443 |
| Price action distance max   | 0.403575  |
| Closest bankruptcy          | 78.91%    |
| Lowest equity/balance ratio | 0.6633    |
| Equity/balance ratio std    | 0.03661   |
| No. fills                   | 7703      |
| No. entries                 | 3940      |
| No. closes                  | 3763      |
| No. initial entries         | 3338      |
| No. reentries               | 595       |
| No. unstuck entries         | 7         |
| No. unstuck closes          | 18        |
| No. normal closes           | 3745      |
| Average n fills per day     | 8.32      |
| Mean hours stuck            | 6.60793   |
| Max hours stuck             | 395.917   |
| PNL sum                     | 210.5     |
| Profit sum                  | 289.1     |
| Loss sum                    | -78.57    |
| Fee sum                     | -11.65    |
| Biggest pos size            | 6.6       |
| Biggest pos cost            | 585.8     |
| Volume quote                | 116537.0  |
+-----------------------------+-----------+
