+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | AVAXUSDT  |
| No. days                    | 667.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.164%    |
| Final balance               | 1727.22   |
| Final equity                | 1301.45   |
| Net PNL + fees              | 727.216   |
| Total gain                  | 76.03%    |
| Average daily gain          | 0.0481%   |
| DG mean std ratio           | 0.04022   |
| Price action distance mean  | 0.163902  |
| Price action distance std   | 0.421631  |
| Price action distance max   | 2.49922   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6515    |
| Equity/balance ratio std    | 0.08369   |
| No. fills                   | 24007     |
| No. entries                 | 12910     |
| No. closes                  | 11097     |
| No. initial entries         | 10886     |
| No. reentries               | 2021      |
| No. unstuck entries         | 3         |
| No. unstuck closes          | 16        |
| No. normal closes           | 11081     |
| Average n fills per day     | 36.0      |
| Mean hours stuck            | 3.43589   |
| Max hours stuck             | 893.233   |
| PNL sum                     | 760.3     |
| Profit sum                  | 823.6     |
| Loss sum                    | -63.29    |
| Fee sum                     | -33.08    |
| Biggest pos size            | 107.1     |
| Biggest pos cost            | 902.6     |
| Volume quote                | 330753.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0959%   |
| Final balance               | 1377.28   |
| Final equity                | 1377.3    |
| Net PNL + fees              | 377.276   |
| Total gain                  | 39.26%    |
| Average daily gain          | 0.049%    |
| DG mean std ratio           | 0.105     |
| Price action distance mean  | 0.0207001 |
| Price action distance std   | 0.0174895 |
| Price action distance max   | 0.187854  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8846    |
| Equity/balance ratio std    | 0.005435  |
| No. fills                   | 16232     |
| No. entries                 | 8742      |
| No. closes                  | 7490      |
| No. initial entries         | 7198      |
| No. reentries               | 1544      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 7490      |
| Average n fills per day     | 24.3      |
| Mean hours stuck            | 1.97231   |
| Max hours stuck             | 79.4333   |
| PNL sum                     | 392.6     |
| Profit sum                  | 392.6     |
| Loss sum                    | 0.0       |
| Fee sum                     | -15.37    |
| Biggest pos size            | 144.7     |
| Biggest pos cost            | 686.5     |
| Volume quote                | 153694.0  |
+-----------------------------+-----------+
