+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | BNBUSDT  |
| No. days                    | 893.666  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.0753%  |
| Final balance               | 1399.62  |
| Final equity                | 1222.29  |
| Net PNL + fees              | 399.616  |
| Total gain                  | 41.96%   |
| Average daily gain          | 0.0354%  |
| DG mean std ratio           | 0.02241  |
| Price action distance mean  | 0.100444 |
| Price action distance std   | 0.175855 |
| Price action distance max   | 2.05024  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.6645   |
| Equity/balance ratio std    | 0.05737  |
| No. fills                   | 16782    |
| No. entries                 | 9810     |
| No. closes                  | 6972     |
| No. initial entries         | 6124     |
| No. reentries               | 3667     |
| No. unstuck entries         | 19       |
| No. unstuck closes          | 264      |
| No. normal closes           | 6708     |
| Average n fills per day     | 18.8     |
| Mean hours stuck            | 2.59913  |
| Max hours stuck             | 805.617  |
| PNL sum                     | 419.6    |
| Profit sum                  | 505.9    |
| Loss sum                    | -86.34   |
| Fee sum                     | -19.94   |
| Biggest pos size            | 33.04    |
| Biggest pos cost            | 710.4    |
| Volume quote                | 199373.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | -3.07%   |
| Final balance               | 0.001    |
| Final equity                | 0.001    |
| Net PNL + fees              | -936.076 |
| Total gain                  | -93.47%  |
| Average daily gain          | -0.514%  |
| DG mean std ratio           | -0.05288 |
| Price action distance mean  | 0.437102 |
| Price action distance std   | 0.200209 |
| Price action distance max   | 0.725156 |
| Closest bankruptcy          | 5.98%    |
| Lowest equity/balance ratio | 0.07843  |
| Equity/balance ratio std    | 0.1844   |
| No. fills                   | 1193     |
| No. entries                 | 709      |
| No. closes                  | 483      |
| No. initial entries         | 456      |
| No. reentries               | 252      |
| No. unstuck entries         | 1        |
| No. unstuck closes          | 28       |
| No. normal closes           | 455      |
| Average n fills per day     | 1.33     |
| Mean hours stuck            | 42.3037  |
| Max hours stuck             | 16270.1  |
| PNL sum                     | -934.7   |
| Profit sum                  | 45.16    |
| Loss sum                    | -979.9   |
| Fee sum                     | -1.375   |
| Biggest pos size            | 69.07    |
| Biggest pos cost            | 521.8    |
| Volume quote                | 13454.6  |
+-----------------------------+----------+
