+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | BNBUSDT   |
| No. days                    | 893.666   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0212%   |
| Final balance               | 1099.4    |
| Final equity                | 1099.21   |
| Net PNL + fees              | 99.4013   |
| Total gain                  | 11.76%    |
| Average daily gain          | 0.0149%   |
| DG mean std ratio           | 0.01675   |
| Price action distance mean  | 0.0197326 |
| Price action distance std   | 0.0533758 |
| Price action distance max   | 1.64483   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6891    |
| Equity/balance ratio std    | 0.01639   |
| No. fills                   | 26720     |
| No. entries                 | 13938     |
| No. closes                  | 12782     |
| No. initial entries         | 12600     |
| No. reentries               | 1333      |
| No. unstuck entries         | 5         |
| No. unstuck closes          | 183       |
| No. normal closes           | 12599     |
| Average n fills per day     | 29.9      |
| Mean hours stuck            | 3.0741    |
| Max hours stuck             | 109.367   |
| PNL sum                     | 117.6     |
| Profit sum                  | 207.3     |
| Loss sum                    | -89.64    |
| Fee sum                     | -18.24    |
| Biggest pos size            | 34.97     |
| Biggest pos cost            | 544.3     |
| Volume quote                | 182409.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.07%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -924.613  |
| Total gain                  | -92.19%   |
| Average daily gain          | -0.514%   |
| DG mean std ratio           | -0.04635  |
| Price action distance mean  | 0.0384951 |
| Price action distance std   | 0.102167  |
| Price action distance max   | 0.645697  |
| Closest bankruptcy          | 5.974%    |
| Lowest equity/balance ratio | 0.08955   |
| Equity/balance ratio std    | 0.06725   |
| No. fills                   | 3599      |
| No. entries                 | 2136      |
| No. closes                  | 1462      |
| No. initial entries         | 1453      |
| No. reentries               | 682       |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 10        |
| No. normal closes           | 1452      |
| Average n fills per day     | 4.03      |
| Mean hours stuck            | 8.68339   |
| Max hours stuck             | 12485.2   |
| PNL sum                     | -921.9    |
| Profit sum                  | 47.16     |
| Loss sum                    | -969.1    |
| Fee sum                     | -2.716    |
| Biggest pos size            | 33.82     |
| Biggest pos cost            | 522.5     |
| Volume quote                | 26718.6   |
+-----------------------------+-----------+
