+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 638.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.103%    |
| Final balance               | 1387.69   |
| Final equity                | 1386.56   |
| Net PNL + fees              | 387.692   |
| Total gain                  | 40.33%    |
| Average daily gain          | 0.0517%   |
| DG mean std ratio           | 0.1552    |
| Price action distance mean  | 0.0287418 |
| Price action distance std   | 0.0250183 |
| Price action distance max   | 0.170337  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9273    |
| Equity/balance ratio std    | 0.002556  |
| No. fills                   | 20222     |
| No. entries                 | 11584     |
| No. closes                  | 8638      |
| No. initial entries         | 8441      |
| No. reentries               | 3143      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 8638      |
| Average n fills per day     | 31.7      |
| Mean hours stuck            | 2.0659    |
| Max hours stuck             | 147.233   |
| PNL sum                     | 403.3     |
| Profit sum                  | 403.3     |
| Loss sum                    | 0.0       |
| Fee sum                     | -15.6     |
| Biggest pos size            | 22090.0   |
| Biggest pos cost            | 681.6     |
| Volume quote                | 156031.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0545%   |
| Final balance               | 1190.17   |
| Final equity                | 1120.66   |
| Net PNL + fees              | 190.169   |
| Total gain                  | 19.74%    |
| Average daily gain          | 0.0212%   |
| DG mean std ratio           | 0.02618   |
| Price action distance mean  | 0.027061  |
| Price action distance std   | 0.0266819 |
| Price action distance max   | 0.303134  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7823    |
| Equity/balance ratio std    | 0.01179   |
| No. fills                   | 9164      |
| No. entries                 | 4912      |
| No. closes                  | 4252      |
| No. initial entries         | 4179      |
| No. reentries               | 733       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 19        |
| No. normal closes           | 4233      |
| Average n fills per day     | 14.3      |
| Mean hours stuck            | 1.91134   |
| Max hours stuck             | 115.367   |
| PNL sum                     | 197.4     |
| Profit sum                  | 197.5     |
| Loss sum                    | -0.07105  |
| Fee sum                     | -7.237    |
| Biggest pos size            | 10733.0   |
| Biggest pos cost            | 595.7     |
| Volume quote                | 72372.6   |
+-----------------------------+-----------+
