+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | DOTUSDT  |
| No. days                    | 699.708  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.184%   |
| Final balance               | 3225.66  |
| Final equity                | 1566.5   |
| Net PNL + fees              | 2225.66  |
| Total gain                  | 231.9%   |
| Average daily gain          | 0.0954%  |
| DG mean std ratio           | 0.03642  |
| Price action distance mean  | 0.157236 |
| Price action distance std   | 0.340186 |
| Price action distance max   | 1.79289  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.4174   |
| Equity/balance ratio std    | 0.1453   |
| No. fills                   | 24977    |
| No. entries                 | 15210    |
| No. closes                  | 9767     |
| No. initial entries         | 9602     |
| No. reentries               | 5608     |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 9767     |
| Average n fills per day     | 35.7     |
| Mean hours stuck            | 1.68927  |
| Max hours stuck             | 1992.8   |
| PNL sum                     | 2319.0   |
| Profit sum                  | 2319.0   |
| Loss sum                    | 0.0      |
| Fee sum                     | -93.35   |
| Biggest pos size            | 174.0    |
| Biggest pos cost            | 2927.0   |
| Volume quote                | 933503.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | -0.422%  |
| Final balance               | 764.772  |
| Final equity                | 761.821  |
| Net PNL + fees              | -235.228 |
| Total gain                  | -23.33%  |
| Average daily gain          | -0.0314% |
| DG mean std ratio           | -0.02592 |
| Price action distance mean  | 0.318211 |
| Price action distance std   | 0.256184 |
| Price action distance max   | 0.774623 |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.686    |
| Equity/balance ratio std    | 0.06659  |
| No. fills                   | 9449     |
| No. entries                 | 6743     |
| No. closes                  | 2706     |
| No. initial entries         | 2577     |
| No. reentries               | 4148     |
| No. unstuck entries         | 18       |
| No. unstuck closes          | 52       |
| No. normal closes           | 2654     |
| Average n fills per day     | 13.5     |
| Mean hours stuck            | 3.18351  |
| Max hours stuck             | 5820.27  |
| PNL sum                     | -233.3   |
| Profit sum                  | 49.39    |
| Loss sum                    | -282.7   |
| Fee sum                     | -1.93    |
| Biggest pos size            | 19.2     |
| Biggest pos cost            | 94.43    |
| Volume quote                | 19300.2  |
+-----------------------------+----------+
