+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | ADAUSDT   |
| No. days                    | 903.666   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0377%   |
| Final balance               | 1185.8    |
| Final equity                | 1185.72   |
| Net PNL + fees              | 185.799   |
| Total gain                  | 18.89%    |
| Average daily gain          | 0.0223%   |
| DG mean std ratio           | 0.02745   |
| Price action distance mean  | 0.0287651 |
| Price action distance std   | 0.0575699 |
| Price action distance max   | 1.01932   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7476    |
| Equity/balance ratio std    | 0.01646   |
| No. fills                   | 3941      |
| No. entries                 | 2302      |
| No. closes                  | 1639      |
| No. initial entries         | 1611      |
| No. reentries               | 691       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 1639      |
| Average n fills per day     | 4.36      |
| Mean hours stuck            | 8.14725   |
| Max hours stuck             | 613.333   |
| PNL sum                     | 188.9     |
| Profit sum                  | 188.9     |
| Loss sum                    | 0.0       |
| Fee sum                     | -3.147    |
| Biggest pos size            | 14048.0   |
| Biggest pos cost            | 571.2     |
| Volume quote                | 31470.8   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.03%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -909.885  |
| Total gain                  | -90.9%    |
| Average daily gain          | -0.508%   |
| DG mean std ratio           | -0.04015  |
| Price action distance mean  | 0.245092  |
| Price action distance std   | 0.212987  |
| Price action distance max   | 0.644934  |
| Closest bankruptcy          | 5.909%    |
| Lowest equity/balance ratio | 0.09147   |
| Equity/balance ratio std    | 0.1375    |
| No. fills                   | 738       |
| No. entries                 | 663       |
| No. closes                  | 74        |
| No. initial entries         | 69        |
| No. reentries               | 594       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 74        |
| Average n fills per day     | 0.817     |
| Mean hours stuck            | 52.5133   |
| Max hours stuck             | 18024.0   |
| PNL sum                     | -909.0    |
| Profit sum                  | 78.17     |
| Loss sum                    | -987.1    |
| Fee sum                     | -0.9026   |
| Biggest pos size            | 17765.0   |
| Biggest pos cost            | 538.9     |
| Volume quote                | 8487.52   |
+-----------------------------+-----------+
