+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | TRXUSDT   |
| No. days                    | 919.663   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.125%    |
| Final balance               | 2833.44   |
| Final equity                | 2831.13   |
| Net PNL + fees              | 1833.44   |
| Total gain                  | 185.6%    |
| Average daily gain          | 0.145%    |
| DG mean std ratio           | 0.05858   |
| Price action distance mean  | 0.0651918 |
| Price action distance std   | 0.150673  |
| Price action distance max   | 1.09843   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.5241    |
| Equity/balance ratio std    | 0.08656   |
| No. fills                   | 3504      |
| No. entries                 | 2174      |
| No. closes                  | 1330      |
| No. initial entries         | 1129      |
| No. reentries               | 1045      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 1330      |
| Average n fills per day     | 3.81      |
| Mean hours stuck            | 7.6612    |
| Max hours stuck             | 2538.65   |
| PNL sum                     | 1856.0    |
| Profit sum                  | 1856.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -22.83    |
| Biggest pos size            | 85492.0   |
| Biggest pos cost            | 2532.0    |
| Volume quote                | 228338.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -16.4%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -937.095  |
| Total gain                  | -93.69%   |
| Average daily gain          | -0.499%   |
| DG mean std ratio           | -0.05935  |
| Price action distance mean  | 0.501189  |
| Price action distance std   | 0.224413  |
| Price action distance max   | 0.911046  |
| Closest bankruptcy          | 5.966%    |
| Lowest equity/balance ratio | 0.06868   |
| Equity/balance ratio std    | 0.1116    |
| No. fills                   | 497       |
| No. entries                 | 256       |
| No. closes                  | 240       |
| No. initial entries         | 13        |
| No. reentries               | 243       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 240       |
| Average n fills per day     | 0.54      |
| Mean hours stuck            | 91.5847   |
| Max hours stuck             | 11393.3   |
| PNL sum                     | -936.9    |
| Profit sum                  | 24.58     |
| Loss sum                    | -961.4    |
| Fee sum                     | -0.2257   |
| Biggest pos size            | 9184.0    |
| Biggest pos cost            | 93.15     |
| Volume quote                | 2164.09   |
+-----------------------------+-----------+
