+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | DOTUSDT  |
| No. days                    | 699.708  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.139%   |
| Final balance               | 1914.04  |
| Final equity                | 925.626  |
| Net PNL + fees              | 914.037  |
| Total gain                  | 95.5%    |
| Average daily gain          | 0.00809% |
| DG mean std ratio           | 0.004026 |
| Price action distance mean  | 0.467197 |
| Price action distance std   | 0.934313 |
| Price action distance max   | 4.39568  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.4577   |
| Equity/balance ratio std    | 0.1686   |
| No. fills                   | 26956    |
| No. entries                 | 17396    |
| No. closes                  | 9560     |
| No. initial entries         | 9081     |
| No. reentries               | 8315     |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 9560     |
| Average n fills per day     | 38.5     |
| Mean hours stuck            | 1.41177  |
| Max hours stuck             | 4971.28  |
| PNL sum                     | 955.0    |
| Profit sum                  | 955.0    |
| Loss sum                    | 0.0      |
| Fee sum                     | -41.01   |
| Biggest pos size            | 182.3    |
| Biggest pos cost            | 1277.0   |
| Volume quote                | 410051.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | -0.586%  |
| Final balance               | 254.814  |
| Final equity                | 254.811  |
| Net PNL + fees              | -745.186 |
| Total gain                  | -73.97%  |
| Average daily gain          | -0.119%  |
| DG mean std ratio           | -0.03125 |
| Price action distance mean  | 0.114285 |
| Price action distance std   | 0.185102 |
| Price action distance max   | 0.71926  |
| Closest bankruptcy          | 11.52%   |
| Lowest equity/balance ratio | 0.14     |
| Equity/balance ratio std    | 0.1359   |
| No. fills                   | 14307    |
| No. entries                 | 8078     |
| No. closes                  | 6229     |
| No. initial entries         | 5595     |
| No. reentries               | 2444     |
| No. unstuck entries         | 39       |
| No. unstuck closes          | 174      |
| No. normal closes           | 6055     |
| Average n fills per day     | 20.4     |
| Mean hours stuck            | 2.62842  |
| Max hours stuck             | 756.383  |
| PNL sum                     | -739.7   |
| Profit sum                  | 128.3    |
| Loss sum                    | -868.0   |
| Fee sum                     | -5.506   |
| Biggest pos size            | 65.2     |
| Biggest pos cost            | 354.0    |
| Volume quote                | 55064.0  |
+-----------------------------+----------+
