+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 638.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0689%   |
| Final balance               | 1246.05   |
| Final equity                | 1244.07   |
| Net PNL + fees              | 246.05    |
| Total gain                  | 30.08%    |
| Average daily gain          | 0.0373%   |
| DG mean std ratio           | 0.04759   |
| Price action distance mean  | 0.0234551 |
| Price action distance std   | 0.0344235 |
| Price action distance max   | 0.797979  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7781    |
| Equity/balance ratio std    | 0.01069   |
| No. fills                   | 66448     |
| No. entries                 | 38413     |
| No. closes                  | 28035     |
| No. initial entries         | 27938     |
| No. reentries               | 10467     |
| No. unstuck entries         | 8         |
| No. unstuck closes          | 98        |
| No. normal closes           | 27937     |
| Average n fills per day     | 104.0     |
| Mean hours stuck            | 0.774974  |
| Max hours stuck             | 172.65    |
| PNL sum                     | 300.8     |
| Profit sum                  | 607.8     |
| Loss sum                    | -307.1    |
| Fee sum                     | -54.74    |
| Biggest pos size            | 23421.0   |
| Biggest pos cost            | 758.3     |
| Volume quote                | 547403.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -4.28%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -921.026  |
| Total gain                  | -90.66%   |
| Average daily gain          | -0.718%   |
| DG mean std ratio           | -0.0444   |
| Price action distance mean  | 0.0598674 |
| Price action distance std   | 0.137932  |
| Price action distance max   | 0.646736  |
| Closest bankruptcy          | 5.813%    |
| Lowest equity/balance ratio | 0.08846   |
| Equity/balance ratio std    | 0.08629   |
| No. fills                   | 13489     |
| No. entries                 | 7426      |
| No. closes                  | 6062      |
| No. initial entries         | 5931      |
| No. reentries               | 1493      |
| No. unstuck entries         | 2         |
| No. unstuck closes          | 132       |
| No. normal closes           | 5930      |
| Average n fills per day     | 21.1      |
| Mean hours stuck            | 3.38164   |
| Max hours stuck             | 10430.4   |
| PNL sum                     | -906.6    |
| Profit sum                  | 282.7     |
| Loss sum                    | -1189.0   |
| Fee sum                     | -14.46    |
| Biggest pos size            | 34581.0   |
| Biggest pos cost            | 629.8     |
| Volume quote                | 144107.0  |
+-----------------------------+-----------+
