+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | TRXUSDT   |
| No. days                    | 919.663   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.155%    |
| Final balance               | 3638.88   |
| Final equity                | 3635.64   |
| Net PNL + fees              | 2638.88   |
| Total gain                  | 268.0%    |
| Average daily gain          | 0.178%    |
| DG mean std ratio           | 0.06617   |
| Price action distance mean  | 0.0708483 |
| Price action distance std   | 0.161107  |
| Price action distance max   | 1.17362   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.5092    |
| Equity/balance ratio std    | 0.09331   |
| No. fills                   | 6284      |
| No. entries                 | 3470      |
| No. closes                  | 2814      |
| No. initial entries         | 1887      |
| No. reentries               | 1583      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 2814      |
| Average n fills per day     | 6.83      |
| Mean hours stuck            | 5.49736   |
| Max hours stuck             | 2543.98   |
| PNL sum                     | 2680.0    |
| Profit sum                  | 2680.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -41.37    |
| Biggest pos size            | 78265.0   |
| Biggest pos cost            | 3279.0    |
| Volume quote                | 413693.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0684%   |
| Final balance               | 1058.86   |
| Final equity                | 1058.23   |
| Net PNL + fees              | 58.8579   |
| Total gain                  | 5.928%    |
| Average daily gain          | 0.00727%  |
| DG mean std ratio           | 0.01535   |
| Price action distance mean  | 0.0949004 |
| Price action distance std   | 0.119061  |
| Price action distance max   | 0.58466   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8721    |
| Equity/balance ratio std    | 0.01847   |
| No. fills                   | 1472      |
| No. entries                 | 1092      |
| No. closes                  | 380       |
| No. initial entries         | 242       |
| No. reentries               | 850       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 380       |
| Average n fills per day     | 1.6       |
| Mean hours stuck            | 17.462    |
| Max hours stuck             | 3643.48   |
| PNL sum                     | 59.28     |
| Profit sum                  | 59.28     |
| Loss sum                    | 0.0       |
| Fee sum                     | -0.4201   |
| Biggest pos size            | 6307.0    |
| Biggest pos cost            | 95.55     |
| Volume quote                | 4200.95   |
+-----------------------------+-----------+
