+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOGEUSDT  |
| No. days                    | 742.625   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0915%   |
| Final balance               | 1404.67   |
| Final equity                | 1404.19   |
| Net PNL + fees              | 404.674   |
| Total gain                  | 42.33%    |
| Average daily gain          | 0.0459%   |
| DG mean std ratio           | 0.1407    |
| Price action distance mean  | 0.0185074 |
| Price action distance std   | 0.0142982 |
| Price action distance max   | 0.441543  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8469    |
| Equity/balance ratio std    | 0.00289   |
| No. fills                   | 17232     |
| No. entries                 | 9035      |
| No. closes                  | 8197      |
| No. initial entries         | 7378      |
| No. reentries               | 1648      |
| No. unstuck entries         | 9         |
| No. unstuck closes          | 753       |
| No. normal closes           | 7444      |
| Average n fills per day     | 23.2      |
| Mean hours stuck            | 2.20773   |
| Max hours stuck             | 744.683   |
| PNL sum                     | 423.3     |
| Profit sum                  | 545.7     |
| Loss sum                    | -122.5    |
| Fee sum                     | -18.6     |
| Biggest pos size            | 160894.0  |
| Biggest pos cost            | 755.5     |
| Volume quote                | 186027.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.69%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -937.245  |
| Total gain                  | -93.65%   |
| Average daily gain          | -0.618%   |
| DG mean std ratio           | -0.04     |
| Price action distance mean  | 0.0236535 |
| Price action distance std   | 0.0508147 |
| Price action distance max   | 0.642403  |
| Closest bankruptcy          | 5.923%    |
| Lowest equity/balance ratio | 0.1018    |
| Equity/balance ratio std    | 0.02294   |
| No. fills                   | 1572      |
| No. entries                 | 246       |
| No. closes                  | 1325      |
| No. initial entries         | 160       |
| No. reentries               | 81        |
| No. unstuck entries         | 5         |
| No. unstuck closes          | 1166      |
| No. normal closes           | 159       |
| Average n fills per day     | 2.12      |
| Mean hours stuck            | 36.2994   |
| Max hours stuck             | 12960.3   |
| PNL sum                     | -936.5    |
| Profit sum                  | 48.38     |
| Loss sum                    | -984.9    |
| Fee sum                     | -0.766    |
| Biggest pos size            | 148426.0  |
| Biggest pos cost            | 519.3     |
| Volume quote                | 7285.34   |
+-----------------------------+-----------+
