+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 638.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.209%    |
| Final balance               | 1950.11   |
| Final equity                | 1946.49   |
| Net PNL + fees              | 950.106   |
| Total gain                  | 100.3%    |
| Average daily gain          | 0.106%    |
| DG mean std ratio           | 0.1776    |
| Price action distance mean  | 0.0212249 |
| Price action distance std   | 0.0223403 |
| Price action distance max   | 0.286415  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8886    |
| Equity/balance ratio std    | 0.006228  |
| No. fills                   | 42535     |
| No. entries                 | 26583     |
| No. closes                  | 15952     |
| No. initial entries         | 14162     |
| No. reentries               | 12387     |
| No. unstuck entries         | 34        |
| No. unstuck closes          | 572       |
| No. normal closes           | 15380     |
| Average n fills per day     | 66.6      |
| Mean hours stuck            | 0.774974  |
| Max hours stuck             | 106.433   |
| PNL sum                     | 1003.0    |
| Profit sum                  | 1310.0    |
| Loss sum                    | -306.9    |
| Fee sum                     | -53.11    |
| Biggest pos size            | 35246.0   |
| Biggest pos cost            | 1022.0    |
| Volume quote                | 531100.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.114%    |
| Final balance               | 1436.82   |
| Final equity                | 1436.82   |
| Net PNL + fees              | 436.821   |
| Total gain                  | 45.49%    |
| Average daily gain          | 0.058%    |
| DG mean std ratio           | 0.1118    |
| Price action distance mean  | 0.0205729 |
| Price action distance std   | 0.0211423 |
| Price action distance max   | 0.204463  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8715    |
| Equity/balance ratio std    | 0.006298  |
| No. fills                   | 17765     |
| No. entries                 | 9903      |
| No. closes                  | 7862      |
| No. initial entries         | 7749      |
| No. reentries               | 2154      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 5         |
| No. normal closes           | 7857      |
| Average n fills per day     | 27.8      |
| Mean hours stuck            | 1.34547   |
| Max hours stuck             | 100.4     |
| PNL sum                     | 454.9     |
| Profit sum                  | 454.9     |
| Loss sum                    | -0.04257  |
| Fee sum                     | -18.07    |
| Biggest pos size            | 16426.0   |
| Biggest pos cost            | 716.2     |
| Volume quote                | 180729.0  |
+-----------------------------+-----------+
