+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | SOLUSDT   |
| No. days                    | 676.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.101%    |
| Final balance               | 1408.76   |
| Final equity                | 1405.24   |
| Net PNL + fees              | 408.759   |
| Total gain                  | 44.84%    |
| Average daily gain          | 0.0553%   |
| DG mean std ratio           | 0.05566   |
| Price action distance mean  | 0.0288923 |
| Price action distance std   | 0.0312675 |
| Price action distance max   | 0.425875  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8505    |
| Equity/balance ratio std    | 0.0107    |
| No. fills                   | 35309     |
| No. entries                 | 21258     |
| No. closes                  | 14051     |
| No. initial entries         | 11481     |
| No. reentries               | 9697      |
| No. unstuck entries         | 80        |
| No. unstuck closes          | 1309      |
| No. normal closes           | 12742     |
| Average n fills per day     | 52.2      |
| Mean hours stuck            | 1.07053   |
| Max hours stuck             | 174.15    |
| PNL sum                     | 448.4     |
| Profit sum                  | 949.4     |
| Loss sum                    | -501.0    |
| Fee sum                     | -39.64    |
| Biggest pos size            | 326.4     |
| Biggest pos cost            | 723.5     |
| Volume quote                | 396405.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -4.04%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -909.449  |
| Total gain                  | -90.66%   |
| Average daily gain          | -0.678%   |
| DG mean std ratio           | -0.05962  |
| Price action distance mean  | 0.0863736 |
| Price action distance std   | 0.130025  |
| Price action distance max   | 0.645714  |
| Closest bankruptcy          | 5.923%    |
| Lowest equity/balance ratio | 0.09314   |
| Equity/balance ratio std    | 0.05985   |
| No. fills                   | 2915      |
| No. entries                 | 1653      |
| No. closes                  | 1261      |
| No. initial entries         | 1243      |
| No. reentries               | 410       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 15        |
| No. normal closes           | 1246      |
| Average n fills per day     | 4.31      |
| Mean hours stuck            | 8.24835   |
| Max hours stuck             | 12346.2   |
| PNL sum                     | -906.6    |
| Profit sum                  | 85.39     |
| Loss sum                    | -992.0    |
| Fee sum                     | -2.826    |
| Biggest pos size            | 291.4     |
| Biggest pos cost            | 540.0     |
| Volume quote                | 27719.7   |
+-----------------------------+-----------+
