+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | UNIUSDT   |
| No. days                    | 672.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0592%   |
| Final balance               | 1220.4    |
| Final equity                | 1219.01   |
| Net PNL + fees              | 220.403   |
| Total gain                  | 23.44%    |
| Average daily gain          | 0.0351%   |
| DG mean std ratio           | 0.03289   |
| Price action distance mean  | 0.0743999 |
| Price action distance std   | 0.16138   |
| Price action distance max   | 1.1984    |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7275    |
| Equity/balance ratio std    | 0.04606   |
| No. fills                   | 14833     |
| No. entries                 | 8240      |
| No. closes                  | 6593      |
| No. initial entries         | 6529      |
| No. reentries               | 1707      |
| No. unstuck entries         | 4         |
| No. unstuck closes          | 51        |
| No. normal closes           | 6542      |
| Average n fills per day     | 22.0      |
| Mean hours stuck            | 2.64672   |
| Max hours stuck             | 479.583   |
| PNL sum                     | 234.4     |
| Profit sum                  | 338.8     |
| Loss sum                    | -104.3    |
| Fee sum                     | -14.04    |
| Biggest pos size            | 132.4     |
| Biggest pos cost            | 660.1     |
| Volume quote                | 140400.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -4.07%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -903.5    |
| Total gain                  | -89.79%   |
| Average daily gain          | -0.682%   |
| DG mean std ratio           | -0.04299  |
| Price action distance mean  | 0.133809  |
| Price action distance std   | 0.155772  |
| Price action distance max   | 0.647052  |
| Closest bankruptcy          | 5.949%    |
| Lowest equity/balance ratio | 0.08714   |
| Equity/balance ratio std    | 0.0785    |
| No. fills                   | 5511      |
| No. entries                 | 4705      |
| No. closes                  | 805       |
| No. initial entries         | 776       |
| No. reentries               | 3929      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 26        |
| No. normal closes           | 779       |
| Average n fills per day     | 8.19      |
| Mean hours stuck            | 5.15485   |
| Max hours stuck             | 12415.7   |
| PNL sum                     | -897.9    |
| Profit sum                  | 154.7     |
| Loss sum                    | -1053.0   |
| Fee sum                     | -5.605    |
| Biggest pos size            | 209.0     |
| Biggest pos cost            | 574.8     |
| Volume quote                | 55474.8   |
+-----------------------------+-----------+
