+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 638.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.237%    |
| Final balance               | 3948.72   |
| Final equity                | 3936.28   |
| Net PNL + fees              | 2948.72   |
| Total gain                  | 307.9%    |
| Average daily gain          | 0.236%    |
| DG mean std ratio           | 0.1121    |
| Price action distance mean  | 0.0290405 |
| Price action distance std   | 0.0500083 |
| Price action distance max   | 0.599795  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6592    |
| Equity/balance ratio std    | 0.03543   |
| No. fills                   | 38920     |
| No. entries                 | 23817     |
| No. closes                  | 15103     |
| No. initial entries         | 14385     |
| No. reentries               | 9432      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 15103     |
| Average n fills per day     | 60.9      |
| Mean hours stuck            | 0.885045  |
| Max hours stuck             | 400.467   |
| PNL sum                     | 3079.0    |
| Profit sum                  | 3079.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -129.9    |
| Biggest pos size            | 66984.0   |
| Biggest pos cost            | 3414.0    |
| Volume quote                | 1299460.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -23.5%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -943.297  |
| Total gain                  | -94.31%   |
| Average daily gain          | -0.718%   |
| DG mean std ratio           | -0.0607   |
| Price action distance mean  | 0.289644  |
| Price action distance std   | 0.327983  |
| Price action distance max   | 0.911147  |
| Closest bankruptcy          | 5.737%    |
| Lowest equity/balance ratio | 0.0671    |
| Equity/balance ratio std    | 0.1149    |
| No. fills                   | 998       |
| No. entries                 | 593       |
| No. closes                  | 404       |
| No. initial entries         | 253       |
| No. reentries               | 337       |
| No. unstuck entries         | 3         |
| No. unstuck closes          | 152       |
| No. normal closes           | 252       |
| Average n fills per day     | 1.56      |
| Mean hours stuck            | 24.7242   |
| Max hours stuck             | 12006.0   |
| PNL sum                     | -943.1    |
| Profit sum                  | 6.229     |
| Loss sum                    | -949.4    |
| Fee sum                     | -0.1719   |
| Biggest pos size            | 5792.0    |
| Biggest pos cost            | 91.52     |
| Volume quote                | 1632.27   |
+-----------------------------+-----------+
