+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | ADAUSDT   |
| No. days                    | 903.666   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0445%   |
| Final balance               | 1222.43   |
| Final equity                | 1222.06   |
| Net PNL + fees              | 222.434   |
| Total gain                  | 23.27%    |
| Average daily gain          | 0.0274%   |
| DG mean std ratio           | 0.02771   |
| Price action distance mean  | 0.0175248 |
| Price action distance std   | 0.0344003 |
| Price action distance max   | 1.46241   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.703     |
| Equity/balance ratio std    | 0.01064   |
| No. fills                   | 7412      |
| No. entries                 | 4259      |
| No. closes                  | 3153      |
| No. initial entries         | 2572      |
| No. reentries               | 1614      |
| No. unstuck entries         | 73        |
| No. unstuck closes          | 373       |
| No. normal closes           | 2780      |
| Average n fills per day     | 8.2       |
| Mean hours stuck            | 4.58811   |
| Max hours stuck             | 136.517   |
| PNL sum                     | 232.7     |
| Profit sum                  | 587.6     |
| Loss sum                    | -354.9    |
| Fee sum                     | -10.28    |
| Biggest pos size            | 16528.0   |
| Biggest pos cost            | 660.4     |
| Volume quote                | 102811.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -0.132%   |
| Final balance               | 549.474   |
| Final equity                | 549.568   |
| Net PNL + fees              | -450.526  |
| Total gain                  | -44.09%   |
| Average daily gain          | -0.052%   |
| DG mean std ratio           | -0.03137  |
| Price action distance mean  | 0.0279005 |
| Price action distance std   | 0.0379709 |
| Price action distance max   | 0.377288  |
| Closest bankruptcy          | 85.95%    |
| Lowest equity/balance ratio | 0.6967    |
| Equity/balance ratio std    | 0.02302   |
| No. fills                   | 4712      |
| No. entries                 | 1850      |
| No. closes                  | 2862      |
| No. initial entries         | 567       |
| No. reentries               | 645       |
| No. unstuck entries         | 638       |
| No. unstuck closes          | 217       |
| No. normal closes           | 2645      |
| Average n fills per day     | 5.21      |
| Mean hours stuck            | 9.24073   |
| Max hours stuck             | 221.317   |
| PNL sum                     | -440.9    |
| Profit sum                  | 819.5     |
| Loss sum                    | -1260.0   |
| Fee sum                     | -9.659    |
| Biggest pos size            | 18205.0   |
| Biggest pos cost            | 509.4     |
| Volume quote                | 96587.8   |
+-----------------------------+-----------+
