+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | TRXUSDT   |
| No. days                    | 919.663   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0454%   |
| Final balance               | 1232.35   |
| Final equity                | 1231.5    |
| Net PNL + fees              | 232.347   |
| Total gain                  | 25.24%    |
| Average daily gain          | 0.0282%   |
| DG mean std ratio           | 0.02747   |
| Price action distance mean  | 0.0222461 |
| Price action distance std   | 0.0427062 |
| Price action distance max   | 1.3632    |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7116    |
| Equity/balance ratio std    | 0.01404   |
| No. fills                   | 22060     |
| No. entries                 | 9993      |
| No. closes                  | 12067     |
| No. initial entries         | 8078      |
| No. reentries               | 1884      |
| No. unstuck entries         | 31        |
| No. unstuck closes          | 3979      |
| No. normal closes           | 8088      |
| Average n fills per day     | 24.0      |
| Mean hours stuck            | 2.42282   |
| Max hours stuck             | 278.267   |
| PNL sum                     | 252.4     |
| Profit sum                  | 468.4     |
| Loss sum                    | -216.0    |
| Fee sum                     | -20.03    |
| Biggest pos size            | 40115.0   |
| Biggest pos cost            | 584.6     |
| Volume quote                | 200340.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0652%   |
| Final balance               | 1349.28   |
| Final equity                | 1349.24   |
| Net PNL + fees              | 349.276   |
| Total gain                  | 36.23%    |
| Average daily gain          | 0.0338%   |
| DG mean std ratio           | 0.06681   |
| Price action distance mean  | 0.0224872 |
| Price action distance std   | 0.0172494 |
| Price action distance max   | 0.242278  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8401    |
| Equity/balance ratio std    | 0.006512  |
| No. fills                   | 12032     |
| No. entries                 | 6617      |
| No. closes                  | 5415      |
| No. initial entries         | 5372      |
| No. reentries               | 1245      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 30        |
| No. normal closes           | 5385      |
| Average n fills per day     | 13.1      |
| Mean hours stuck            | 4.43924   |
| Max hours stuck             | 183.3     |
| PNL sum                     | 362.3     |
| Profit sum                  | 363.0     |
| Loss sum                    | -0.667    |
| Fee sum                     | -13.02    |
| Biggest pos size            | 57915.0   |
| Biggest pos cost            | 614.1     |
| Volume quote                | 130228.0  |
+-----------------------------+-----------+
